# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-09-11 12:02:36 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01091000 SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01091000
#            TS   parameter     statistic     Description
#         64046       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64046_00060_00003	64046_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01091000	2021-08-14	67.0	A
USGS	01091000	2021-08-15	59.1	A
USGS	01091000	2021-08-16	52.9	A
USGS	01091000	2021-08-17	48.7	A
USGS	01091000	2021-08-18	44.2	A
USGS	01091000	2021-08-19	84.1	A
USGS	01091000	2021-08-20	345	A
USGS	01091000	2021-08-21	219	A
USGS	01091000	2021-08-22	175	A
USGS	01091000	2021-08-23	400	A
USGS	01091000	2021-08-24	1170	A
USGS	01091000	2021-08-25	528	A
USGS	01091000	2021-08-26	280	A
USGS	01091000	2021-08-27	202	A
USGS	01091000	2021-08-28	149	A
USGS	01091000	2021-08-29	123	A
USGS	01091000	2021-08-30	116	A
USGS	01091000	2021-08-31	106	A
USGS	01091000	2021-09-01	106	A
USGS	01091000	2021-09-02	825	A
USGS	01091000	2021-09-03	512	A
USGS	01091000	2021-09-04	272	A
USGS	01091000	2021-09-05	190	A
USGS	01091000	2021-09-06	171	A
USGS	01091000	2021-09-07	147	A
USGS	01091000	2021-09-08	123	A
USGS	01091000	2021-09-09	380	A
USGS	01091000	2021-09-10	547	A
USGS	01091000	2021-09-11	311	A
USGS	01091000	2021-09-12	218	A
USGS	01091000	2021-09-13	233	A
USGS	01091000	2021-09-14	266	A
USGS	01091000	2021-09-15	186	A
USGS	01091000	2021-09-16	203	A
USGS	01091000	2021-09-17	184	A
USGS	01091000	2021-09-18	160	A
USGS	01091000	2021-09-19	143	A
USGS	01091000	2021-09-20	119	A
USGS	01091000	2021-09-21	109	A
USGS	01091000	2021-09-22	99.5	A
USGS	01091000	2021-09-23	121	A
USGS	01091000	2021-09-24	167	A
USGS	01091000	2021-09-25	228	A
USGS	01091000	2021-09-26	162	A
USGS	01091000	2021-09-27	127	A
USGS	01091000	2021-09-28	114	A
USGS	01091000	2021-09-29	104	A
USGS	01091000	2021-09-30	91.0	A
USGS	01091000	2021-10-01	84.1	A
USGS	01091000	2021-10-02	78.1	A
USGS	01091000	2021-10-03	74.6	A
USGS	01091000	2021-10-04	138	A
USGS	01091000	2021-10-05	373	A
USGS	01091000	2021-10-06	264	A
USGS	01091000	2021-10-07	178	A
USGS	01091000	2021-10-08	142	A
USGS	01091000	2021-10-09	123	A
USGS	01091000	2021-10-10	111	A
USGS	01091000	2021-10-11	107	A
USGS	01091000	2021-10-12	98.9	A
USGS	01091000	2021-10-13	93.3	A
USGS	01091000	2021-10-14	87.5	A
USGS	01091000	2021-10-15	84.3	A
USGS	01091000	2021-10-16	85.0	A
USGS	01091000	2021-10-17	112	A
USGS	01091000	2021-10-18	117	A
USGS	01091000	2021-10-19	99.8	A
USGS	01091000	2021-10-20	90.0	A
USGS	01091000	2021-10-21	85.3	A
USGS	01091000	2021-10-22	77.8	A
USGS	01091000	2021-10-23	72.0	A
USGS	01091000	2021-10-24	68.0	A
USGS	01091000	2021-10-25	102	A
USGS	01091000	2021-10-26	239	A
USGS	01091000	2021-10-27	438	A
USGS	01091000	2021-10-28	328	A
USGS	01091000	2021-10-29	211	A
USGS	01091000	2021-10-30	256	A
USGS	01091000	2021-10-31	1290	A
USGS	01091000	2021-11-01	827	A
USGS	01091000	2021-11-02	444	A
USGS	01091000	2021-11-03	322	A
USGS	01091000	2021-11-04	261	A
USGS	01091000	2021-11-05	225	A
USGS	01091000	2021-11-06	202	A
USGS	01091000	2021-11-07	187	A
USGS	01091000	2021-11-08	178	A
USGS	01091000	2021-11-09	166	A
USGS	01091000	2021-11-10	162	A
USGS	01091000	2021-11-11	151	A
USGS	01091000	2021-11-12	289	A
USGS	01091000	2021-11-13	651	A
USGS	01091000	2021-11-14	637	A
USGS	01091000	2021-11-15	441	A
USGS	01091000	2021-11-16	330	A
USGS	01091000	2021-11-17	265	A
USGS	01091000	2021-11-18	237	A
USGS	01091000	2021-11-19	244	A
USGS	01091000	2021-11-20	229	A
USGS	01091000	2021-11-21	203	A
USGS	01091000	2021-11-22	198	A
USGS	01091000	2021-11-23	190	A
USGS	01091000	2021-11-24	172	A
USGS	01091000	2021-11-25	159	A
USGS	01091000	2021-11-26	164	A
USGS	01091000	2021-11-27	195	A
USGS	01091000	2021-11-28	173	A
USGS	01091000	2021-11-29	159	A
USGS	01091000	2021-11-30	147	A
USGS	01091000	2021-12-01	144	A
USGS	01091000	2021-12-02	153	A
USGS	01091000	2021-12-03	183	A
USGS	01091000	2021-12-04	163	A
USGS	01091000	2021-12-05	146	A
USGS	01091000	2021-12-06	148	A
USGS	01091000	2021-12-07	172	A
USGS	01091000	2021-12-08	159	A
USGS	01091000	2021-12-09	142	A
USGS	01091000	2021-12-10	133	A
USGS	01091000	2021-12-11	212	A
USGS	01091000	2021-12-12	459	A
USGS	01091000	2021-12-13	315	A
USGS	01091000	2021-12-14	234	A
USGS	01091000	2021-12-15	195	A
USGS	01091000	2021-12-16	202	A
