#
#
# US Geological Survey, Water Resources Data
# retrieved: 2024-09-04 12:30:57 EDT      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 01091000 SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		64046	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	01091000	00060	64046	1940	8	21.8
USGS	01091000	00060	64046	1940	9	24.4
USGS	01091000	00060	64046	1940	10	16.9
USGS	01091000	00060	64046	1940	11	111.9
USGS	01091000	00060	64046	1940	12	153.2
USGS	01091000	00060	64046	1941	1	131.2
USGS	01091000	00060	64046	1941	2	256.6
USGS	01091000	00060	64046	1941	3	137.1
USGS	01091000	00060	64046	1941	4	224.2
USGS	01091000	00060	64046	1941	5	78
USGS	01091000	00060	64046	1941	6	54.5
USGS	01091000	00060	64046	1941	7	13.8
USGS	01091000	00060	64046	1941	8	8.55
USGS	01091000	00060	64046	1941	9	5.69
USGS	01091000	00060	64046	1941	10	11
USGS	01091000	00060	64046	1941	11	27.7
USGS	01091000	00060	64046	1941	12	61.6
USGS	01091000	00060	64046	1942	1	100.5
USGS	01091000	00060	64046	1942	2	33.8
USGS	01091000	00060	64046	1942	3	489.6
USGS	01091000	00060	64046	1942	4	279.1
USGS	01091000	00060	64046	1942	5	95.5
USGS	01091000	00060	64046	1942	6	239.1
USGS	01091000	00060	64046	1942	7	136.2
USGS	01091000	00060	64046	1942	8	59.7
USGS	01091000	00060	64046	1942	9	38.6
USGS	01091000	00060	64046	1942	10	49
USGS	01091000	00060	64046	1942	11	167.2
USGS	01091000	00060	64046	1942	12	204.8
USGS	01091000	00060	64046	1943	1	152.9
USGS	01091000	00060	64046	1943	2	170.5
USGS	01091000	00060	64046	1943	3	379.1
USGS	01091000	00060	64046	1943	4	362.1
USGS	01091000	00060	64046	1943	5	351.7
USGS	01091000	00060	64046	1943	6	75.2
USGS	01091000	00060	64046	1943	7	23.5
USGS	01091000	00060	64046	1943	8	39.9
USGS	01091000	00060	64046	1943	9	10.9
USGS	01091000	00060	64046	1943	10	62.9
USGS	01091000	00060	64046	1943	11	175.1
USGS	01091000	00060	64046	1943	12	75.9
USGS	01091000	00060	64046	1944	1	35.7
USGS	01091000	00060	64046	1944	2	49.5
USGS	01091000	00060	64046	1944	3	238.3
USGS	01091000	00060	64046	1944	4	552
USGS	01091000	00060	64046	1944	5	133.1
USGS	01091000	00060	64046	1944	6	366.1
USGS	01091000	00060	64046	1944	7	64.7
USGS	01091000	00060	64046	1944	8	19.3
USGS	01091000	00060	64046	1944	9	122.2
USGS	01091000	00060	64046	1944	10	57
USGS	01091000	00060	64046	1944	11	73.3
USGS	01091000	00060	64046	1944	12	155.8
USGS	01091000	00060	64046	1945	1	134.9
USGS	01091000	00060	64046	1945	2	130.9
USGS	01091000	00060	64046	1945	3	605.1
USGS	01091000	00060	64046	1945	4	336.9
USGS	01091000	00060	64046	1945	5	501.5
USGS	01091000	00060	64046	1945	6	281.3
USGS	01091000	00060	64046	1945	7	138
USGS	01091000	00060	64046	1945	8	62.5
USGS	01091000	00060	64046	1945	9	39.5
USGS	01091000	00060	64046	1945	10	40.9
USGS	01091000	00060	64046	1945	11	121.8
USGS	01091000	00060	64046	1945	12	234.5
USGS	01091000	00060	64046	1946	1	210.6
USGS	01091000	00060	64046	1946	2	143.7
USGS	01091000	00060	64046	1946	3	499.5
USGS	01091000	00060	64046	1946	4	197.6
USGS	01091000	00060	64046	1946	5	250
USGS	01091000	00060	64046	1946	6	131.7
USGS	01091000	00060	64046	1946	7	25.9
USGS	01091000	00060	64046	1946	8	63.8
USGS	01091000	00060	64046	1946	9	25
USGS	01091000	00060	64046	1946	10	78.1
USGS	01091000	00060	64046	1946	11	44.5
USGS	01091000	00060	64046	1946	12	42.3
USGS	01091000	00060	64046	1947	1	94.8
USGS	01091000	00060	64046	1947	2	194.1
USGS	01091000	00060	64046	1947	3	302.9
USGS	01091000	00060	64046	1947	4	442.6
USGS	01091000	00060	64046	1947	5	222.1
USGS	01091000	00060	64046	1947	6	148.6
USGS	01091000	00060	64046	1947	7	50.2
USGS	01091000	00060	64046	1947	8	18.4
USGS	01091000	00060	64046	1947	9	16.2
USGS	01091000	00060	64046	1947	10	8.74
USGS	01091000	00060	64046	1947	11	154.4
USGS	01091000	00060	64046	1947	12	72.2
USGS	01091000	00060	64046	1948	1	62.1
USGS	01091000	00060	64046	1948	2	115.8
USGS	01091000	00060	64046	1948	3	574.9
USGS	01091000	00060	64046	1948	4	282.1
USGS	01091000	00060	64046	1948	5	373.4
USGS	01091000	00060	64046	1948	6	240.3
USGS	01091000	00060	64046	1948	7	62
USGS	01091000	00060	64046	1948	8	14.3
USGS	01091000	00060	64046	1948	9	4.61
USGS	01091000	00060	64046	1948	10	9.97
USGS	01091000	00060	64046	1948	11	75.4
USGS	01091000	00060	64046	1948	12	58.3
USGS	01091000	00060	64046	1949	1	193.6
USGS	01091000	00060	64046	1949	2	199.9
USGS	01091000	00060	64046	1949	3	237.4
USGS	01091000	00060	64046	1949	4	247.6
USGS	01091000	00060	64046	1949	5	135.8
USGS	01091000	00060	64046	1949	6	26.6
USGS	01091000	00060	64046	1949	7	10.4
USGS	01091000	00060	64046	1949	8	10.1
USGS	01091000	00060	64046	1949	9	14
USGS	01091000	00060	64046	1949	10	17.4
USGS	01091000	00060	64046	1949	11	30.7
USGS	01091000	00060	64046	1949	12	59.7
USGS	01091000	00060	64046	1950	1	134.7
USGS	01091000	00060	64046	1950	2	94.4
USGS	01091000	00060	64046	1950	3	277.3
USGS	01091000	00060	64046	1950	4	397.4
USGS	01091000	00060	64046	1950	5	117.4
USGS	01091000	00060	64046	1950	6	55.8
USGS	01091000	00060	64046	1950	7	8.45
USGS	01091000	00060	64046	1950	8	9.63
USGS	01091000	00060	64046	1950	9	46.1
USGS	01091000	00060	64046	1950	10	28.3
USGS	01091000	00060	64046	1950	11	190.9
USGS	01091000	00060	64046	1950	12	285.8
USGS	01091000	00060	64046	1951	1	198.7
USGS	01091000	00060	64046	1951	2	462.9
USGS	01091000	00060	64046	1951	3	460.5
USGS	01091000	00060	64046	1951	4	480.7
USGS	01091000	00060	64046	1951	5	161.1
USGS	01091000	00060	64046	1951	6	114.3
USGS	01091000	00060	64046	1951	7	96.1
USGS	01091000	00060	64046	1951	8	77.7
USGS	01091000	00060	64046	1951	9	57.3
USGS	01091000	00060	64046	1951	10	111.3
USGS	01091000	00060	64046	1951	11	395.8
USGS	01091000	00060	64046	1951	12	233.9
USGS	01091000	00060	64046	1952	1	341.3
USGS	01091000	00060	64046	1952	2	267.9
USGS	01091000	00060	64046	1952	3	311.7
USGS	01091000	00060	64046	1952	4	777.9
USGS	01091000	00060	64046	1952	5	309.2
USGS	01091000	00060	64046	1952	6	194.2
USGS	01091000	00060	64046	1952	7	32
USGS	01091000	00060	64046	1952	8	20
USGS	01091000	00060	64046	1952	9	14.8
USGS	01091000	00060	64046	1952	10	11.2
USGS	01091000	00060	64046	1952	11	38.7
USGS	01091000	00060	64046	1952	12	148.7
USGS	01091000	00060	64046	1953	1	206.8
USGS	01091000	00060	64046	1953	2	387
USGS	01091000	00060	64046	1953	3	725.9
USGS	01091000	00060	64046	1953	4	492.6
USGS	01091000	00060	64046	1953	5	272.2
USGS	01091000	00060	64046	1953	6	36.5
USGS	01091000	00060	64046	1953	7	16
USGS	01091000	00060	64046	1953	8	43.4
USGS	01091000	00060	64046	1953	9	10.6
USGS	01091000	00060	64046	1953	10	30.9
USGS	01091000	00060	64046	1953	11	92.7
USGS	01091000	00060	64046	1953	12	253.5
USGS	01091000	00060	64046	1954	1	100.5
USGS	01091000	00060	64046	1954	2	207.8
USGS	01091000	00060	64046	1954	3	338.9
USGS	01091000	00060	64046	1954	4	285.7
USGS	01091000	00060	64046	1954	5	564.7
USGS	01091000	00060	64046	1954	6	157.4
USGS	01091000	00060	64046	1954	7	77.2
USGS	01091000	00060	64046	1954	8	66.5
USGS	01091000	00060	64046	1954	9	359
USGS	01091000	00060	64046	1954	10	124.8
USGS	01091000	00060	64046	1954	11	374
USGS	01091000	00060	64046	1954	12	403.9
USGS	01091000	00060	64046	1955	1	149.2
USGS	01091000	00060	64046	1955	2	169.3
USGS	01091000	00060	64046	1955	3	299.7
USGS	01091000	00060	64046	1955	4	404.1
USGS	01091000	00060	64046	1955	5	134
USGS	01091000	00060	64046	1955	6	97
USGS	01091000	00060	64046	1955	7	19.4
USGS	01091000	00060	64046	1955	8	48.4
USGS	01091000	00060	64046	1955	9	15.9
USGS	01091000	00060	64046	1955	10	255.3
USGS	01091000	00060	64046	1955	11	472.8
USGS	01091000	00060	64046	1955	12	90.6
USGS	01091000	00060	64046	1956	1	413.4
USGS	01091000	00060	64046	1956	2	130.6
USGS	01091000	00060	64046	1956	3	132.1
USGS	01091000	00060	64046	1956	4	843
USGS	01091000	00060	64046	1956	5	321.7
USGS	01091000	00060	64046	1956	6	101.9
USGS	01091000	00060	64046	1956	7	35.8
USGS	01091000	00060	64046	1956	8	10.8
USGS	01091000	00060	64046	1956	9	22.1
USGS	01091000	00060	64046	1956	10	23.4
USGS	01091000	00060	64046	1956	11	46.8
USGS	01091000	00060	64046	1956	12	131.8
USGS	01091000	00060	64046	1957	1	194.6
USGS	01091000	00060	64046	1957	2	145.5
USGS	01091000	00060	64046	1957	3	246.7
USGS	01091000	00060	64046	1957	4	190.2
USGS	01091000	00060	64046	1957	5	88.4
USGS	01091000	00060	64046	1957	6	38.1
USGS	01091000	00060	64046	1957	7	15.4
USGS	01091000	00060	64046	1957	8	6.81
USGS	01091000	00060	64046	1957	9	4.52
USGS	01091000	00060	64046	1957	10	10.6
USGS	01091000	00060	64046	1957	11	84.5
USGS	01091000	00060	64046	1957	12	284.4
USGS	01091000	00060	64046	1958	1	302.8
USGS	01091000	00060	64046	1958	2	173.9
USGS	01091000	00060	64046	1958	3	250.5
USGS	01091000	00060	64046	1958	4	799.6
USGS	01091000	00060	64046	1958	5	265.1
USGS	01091000	00060	64046	1958	6	49.1
USGS	01091000	00060	64046	1958	7	75.4
USGS	01091000	00060	64046	1958	8	26.3
USGS	01091000	00060	64046	1958	9	23.9
USGS	01091000	00060	64046	1958	10	49.2
USGS	01091000	00060	64046	1958	11	112.5
USGS	01091000	00060	64046	1958	12	105.2
USGS	01091000	00060	64046	1959	1	134.4
USGS	01091000	00060	64046	1959	2	113.5
USGS	01091000	00060	64046	1959	3	281.6
USGS	01091000	00060	64046	1959	4	629.6
USGS	01091000	00060	64046	1959	5	106.7
USGS	01091000	00060	64046	1959	6	75.2
USGS	01091000	00060	64046	1959	7	31.6
USGS	01091000	00060	64046	1959	8	13.9
USGS	01091000	00060	64046	1959	9	24.8
USGS	01091000	00060	64046	1959	10	146.9
USGS	01091000	00060	64046	1959	11	192.3
USGS	01091000	00060	64046	1959	12	265.6
USGS	01091000	00060	64046	1960	1	177.3
USGS	01091000	00060	64046	1960	2	198
USGS	01091000	00060	64046	1960	3	146
USGS	01091000	00060	64046	1960	4	887.5
USGS	01091000	00060	64046	1960	5	277.5
USGS	01091000	00060	64046	1960	6	147.4
USGS	01091000	00060	64046	1960	7	50.7
USGS	01091000	00060	64046	1960	8	38.2
USGS	01091000	00060	64046	1960	9	194.7
USGS	01091000	00060	64046	1960	10	112.5
USGS	01091000	00060	64046	1960	11	141.6
USGS	01091000	00060	64046	1960	12	116
USGS	01091000	00060	64046	1961	1	73.2
USGS	01091000	00060	64046	1961	2	129.5
USGS	01091000	00060	64046	1961	3	322.1
USGS	01091000	00060	64046	1961	4	682.3
USGS	01091000	00060	64046	1961	5	230.3
USGS	01091000	00060	64046	1961	6	69.9
USGS	01091000	00060	64046	1961	7	33.6
USGS	01091000	00060	64046	1961	8	30.8
USGS	01091000	00060	64046	1961	9	36.7
USGS	01091000	00060	64046	1961	10	37.3
USGS	01091000	00060	64046	1961	11	86.9
USGS	01091000	00060	64046	1961	12	75.7
USGS	01091000	00060	64046	1962	1	135.2
USGS	01091000	00060	64046	1962	2	74.9
USGS	01091000	00060	64046	1962	3	246.1
USGS	01091000	00060	64046	1962	4	591.9
USGS	01091000	00060	64046	1962	5	149.9
USGS	01091000	00060	64046	1962	6	57
USGS	01091000	00060	64046	1962	7	21.6
USGS	01091000	00060	64046	1962	8	20.8
USGS	01091000	00060	64046	1962	9	12.5
USGS	01091000	00060	64046	1962	10	183.7
USGS	01091000	00060	64046	1962	11	287.2
USGS	01091000	00060	64046	1962	12	317.1
USGS	01091000	00060	64046	1963	1	99.7
USGS	01091000	00060	64046	1963	2	87.7
USGS	01091000	00060	64046	1963	3	315.1
USGS	01091000	00060	64046	1963	4	428.6
USGS	01091000	00060	64046	1963	5	136.7
USGS	01091000	00060	64046	1963	6	35
USGS	01091000	00060	64046	1963	7	16.9
USGS	01091000	00060	64046	1963	8	8.45
USGS	01091000	00060	64046	1963	9	7.07
USGS	01091000	00060	64046	1963	10	10.6
USGS	01091000	00060	64046	1963	11	158.7
USGS	01091000	00060	64046	1963	12	137.3
USGS	01091000	00060	64046	1964	1	234.4
USGS	01091000	00060	64046	1964	2	147.8
USGS	01091000	00060	64046	1964	3	365.2
USGS	01091000	00060	64046	1964	4	456
USGS	01091000	00060	64046	1964	5	110.6
USGS	01091000	00060	64046	1964	6	18.5
USGS	01091000	00060	64046	1964	7	21.2
USGS	01091000	00060	64046	1964	8	9.09
USGS	01091000	00060	64046	1964	9	5.58
USGS	01091000	00060	64046	1964	10	8.39
USGS	01091000	00060	64046	1964	11	18.2
USGS	01091000	00060	64046	1964	12	50.7
USGS	01091000	00060	64046	1965	1	33.5
USGS	01091000	00060	64046	1965	2	64.7
USGS	01091000	00060	64046	1965	3	130.6
USGS	01091000	00060	64046	1965	4	226.1
USGS	01091000	00060	64046	1965	5	68.8
USGS	01091000	00060	64046	1965	6	25.2
USGS	01091000	00060	64046	1965	7	7.75
USGS	01091000	00060	64046	1965	8	4.66
USGS	01091000	00060	64046	1965	9	5.14
USGS	01091000	00060	64046	1965	10	13.9
USGS	01091000	00060	64046	1965	11	25.3
USGS	01091000	00060	64046	1965	12	41.8
USGS	01091000	00060	64046	1966	1	45.7
USGS	01091000	00060	64046	1966	2	141.9
USGS	01091000	00060	64046	1966	3	314.7
USGS	01091000	00060	64046	1966	4	208.5
USGS	01091000	00060	64046	1966	5	127.1
USGS	01091000	00060	64046	1966	6	32.1
USGS	01091000	00060	64046	1966	7	6.15
USGS	01091000	00060	64046	1966	8	4.88
USGS	01091000	00060	64046	1966	9	14.2
USGS	01091000	00060	64046	1966	10	37.2
USGS	01091000	00060	64046	1966	11	132.8
USGS	01091000	00060	64046	1966	12	90.5
USGS	01091000	00060	64046	1967	1	89.4
USGS	01091000	00060	64046	1967	2	80.3
USGS	01091000	00060	64046	1967	3	136
USGS	01091000	00060	64046	1967	4	684.1
USGS	01091000	00060	64046	1967	5	345.5
USGS	01091000	00060	64046	1967	6	147.9
USGS	01091000	00060	64046	1967	7	104.2
USGS	01091000	00060	64046	1967	8	69.4
USGS	01091000	00060	64046	1967	9	24
USGS	01091000	00060	64046	1967	10	38
USGS	01091000	00060	64046	1967	11	74.6
USGS	01091000	00060	64046	1967	12	198.2
USGS	01091000	00060	64046	1968	1	85
USGS	01091000	00060	64046	1968	2	86.8
USGS	01091000	00060	64046	1968	3	519
USGS	01091000	00060	64046	1968	4	245.5
USGS	01091000	00060	64046	1968	5	239
USGS	01091000	00060	64046	1968	6	341.4
USGS	01091000	00060	64046	1968	7	106.1
USGS	01091000	00060	64046	1968	8	33
USGS	01091000	00060	64046	1968	9	21.6
USGS	01091000	00060	64046	1968	10	30
USGS	01091000	00060	64046	1968	11	160
USGS	01091000	00060	64046	1968	12	332
USGS	01091000	00060	64046	1969	1	142.3
USGS	01091000	00060	64046	1969	2	140.9
USGS	01091000	00060	64046	1969	3	366.8
USGS	01091000	00060	64046	1969	4	906.7
USGS	01091000	00060	64046	1969	5	140.8
USGS	01091000	00060	64046	1969	6	109.7
USGS	01091000	00060	64046	1969	7	42.8
USGS	01091000	00060	64046	1969	8	64.8
USGS	01091000	00060	64046	1969	9	59.5
USGS	01091000	00060	64046	1969	10	31.6
USGS	01091000	00060	64046	1969	11	317.3
USGS	01091000	00060	64046	1969	12	307.7
USGS	01091000	00060	64046	1970	1	154.5
USGS	01091000	00060	64046	1970	2	462.3
USGS	01091000	00060	64046	1970	3	264.7
USGS	01091000	00060	64046	1970	4	582
USGS	01091000	00060	64046	1970	5	211.8
USGS	01091000	00060	64046	1970	6	79.9
USGS	01091000	00060	64046	1970	7	27.2
USGS	01091000	00060	64046	1970	8	16.8
USGS	01091000	00060	64046	1970	9	18.4
USGS	01091000	00060	64046	1970	10	41.1
USGS	01091000	00060	64046	1970	11	76.7
USGS	01091000	00060	64046	1970	12	94.9
USGS	01091000	00060	64046	1971	1	72.9
USGS	01091000	00060	64046	1971	2	112.9
USGS	01091000	00060	64046	1971	3	192.9
USGS	01091000	00060	64046	1971	4	644.4
USGS	01091000	00060	64046	1971	5	301.5
USGS	01091000	00060	64046	1971	6	57.6
USGS	01091000	00060	64046	1971	7	28.9
USGS	01091000	00060	64046	1971	8	30.2
USGS	01091000	00060	64046	1971	9	20.6
USGS	01091000	00060	64046	1971	10	31.4
USGS	01091000	00060	64046	1971	11	41.3
USGS	01091000	00060	64046	1971	12	136
USGS	01091000	00060	64046	1972	1	145.6
USGS	01091000	00060	64046	1972	2	177
USGS	01091000	00060	64046	1972	3	420.5
USGS	01091000	00060	64046	1972	4	687.9
USGS	01091000	00060	64046	1972	5	356.2
USGS	01091000	00060	64046	1972	6	222
USGS	01091000	00060	64046	1972	7	80.5
USGS	01091000	00060	64046	1972	8	22.2
USGS	01091000	00060	64046	1972	9	14.9
USGS	01091000	00060	64046	1972	10	36.7
USGS	01091000	00060	64046	1972	11	219.6
USGS	01091000	00060	64046	1972	12	262.7
USGS	01091000	00060	64046	1973	1	248.4
USGS	01091000	00060	64046	1973	2	256.1
USGS	01091000	00060	64046	1973	3	540.1
USGS	01091000	00060	64046	1973	4	551.7
USGS	01091000	00060	64046	1973	5	303.5
USGS	01091000	00060	64046	1973	6	149.5
USGS	01091000	00060	64046	1973	7	152.5
USGS	01091000	00060	64046	1973	8	42.1
USGS	01091000	00060	64046	1973	9	22
