eDNA_sample,tube-no,sample-id,stream-name,site-code,date,replicate,volume_l,filter-size,pre-filter,lysis,extraction,quant
RAB_45436,1,RAB_45436yn,Rand Brook,RAB,2024-05-24,,1,1.2,none,2024-11-6 JC EC,2024-11-6 JC EC,4.72
RAB_45444,2,RAB_45444yn,Rand Brook,RAB,2024-06-01,,1,1.2,none,2024-11-6 JC EC,2024-11-6 JC EC,3.39
RAB_45453,3,RAB_45453yn,Rand Brook,RAB,2024-06-10,,1,1.2,none,2024-11-6 CS MB,2024-11-6 CS MB,1.96
RAB_45461,4,RAB_45461yn,Rand Brook,RAB,2024-06-18,,0.9,1.2,none,2024-11-6 CS MB,2024-11-6 CS MB,3.09
RAB_45468,5,RAB_45468zc,Rand Brook,RAB,2024-06-25,,1,0.45,coffee-filter,2024/11/6 RC,2024/11/6 RC,6.76
RAB_45468,6,RAB_45468zn,Rand Brook,RAB,2024-06-25,,1,0.45,none,2024/11/6 HW FD,2024/11/6 HW FD,7.51
RAB_45468,7,RAB_45468yc,Rand Brook,RAB,2024-06-25,,1,1.2,coffee-filter,2024/11/6 HW FD,2024/11/6 HW FD,2.57
RAB_45468,8,RAB_45468yn,Rand Brook,RAB,2024-06-25,,1,1.2,none,2024/11/6 RC,2024/11/6 RC,6.04
RAB_45473,9,RAB_45473zn,Rand Brook,RAB,2024-06-30,,1,0.45,none,2024/11/6 AL PM,2024/11/6 AL PM,2.44
RAB_45475,10,RAB_45475zc,Rand Brook,RAB,2024-07-02,,1,0.45,coffee-filter,2024/11/6 AL PM,2024/11/6 AL PM,2.95
RAB_45475,11,RAB_45475zn,Rand Brook,RAB,2024-07-02,,1,0.45,none,2024/11/6 AL PM,2024/11/6 AL PM,3.98
RAB_45475,12,RAB_45475yc,Rand Brook,RAB,2024-07-02,,1,1.2,coffee-filter,2024-11-6 JC EC,2024-11-6 JC EC,1.29
RAB_45475,13,RAB_45475yn,Rand Brook,RAB,2024-07-02,,0.95,1.2,none,2024-11-6 JC EC,2024-11-6 JC EC,2.84
RAB_45488,14,RAB_45488zn,Rand Brook,RAB,2024-07-15,,1,0.45,none,2024/11/6 AL PM,2024/11/6 AL PM,5.15
RAB_45488,15,RAB_45488yn,Rand Brook,RAB,2024-07-15,,1,1.2,none,2024/11/6 HW FD,2024/11/6 HW FD,3.03
RAB_45495,16,RAB_45495zn,Rand Brook,RAB,2024-07-22,,,0.45,none,2024/11/6 HW FD2024/11/6 HW FD,,1.58
RAB_45495,17,RAB_45495yn,Rand Brook,RAB,2024-07-22,,,1.2,none,2024/11/6 HW FD,2024/11/6 HW FD,4.14
RAB_45503,18,RAB_45503yn,Rand Brook,RAB,2024-07-30,,0.9,1.2,none,2024/11/6 HW FD,2024/11/6 HW FD,36.2
RAB_45512,19,RAB_45512zn,Rand Brook,RAB,2024-08-08,,1,0.45,none,2024-11-6 CS MB,2024-11-6 CS MB,3.93
RAB_45512,20,RAB_45512yn,Rand Brook,RAB,2024-08-08,,1,1.2,none,2024-11-6 CS MB,2024-11-6 CS MB,6.13
RAB_45518,21,RAB_45518zn,Rand Brook,RAB,2024-08-14,,1,0.45,none,2024/11/6 RC,2024/11/6 RC,7.17
RAB_45524,22,RAB_45524zn,Rand Brook,RAB,2024-08-20,,0.8,0.45,none,2024/11/6 RC,2024/11/6 RC,17.7
RAB_45524,23,RAB_45524yn,Rand Brook,RAB,2024-08-20,,1,1.2,none,2024-11-6 JC EC,2024-11-6 JC EC,15.6
RAB_45533,24,RAB_45533zn,Rand Brook,RAB,2024-08-29,,,0.45,none,2024-11-6 CS MB,2024-11-6 CS MB,9.88
RAB_45533,25,RAB_45533yn,Rand Brook,RAB,2024-08-29,,,1.2,none,2024-11-6 JC EC,2024-11-6 JC EC,8.46
RAB_45540,26,RAB_45540zn,Rand Brook,RAB,2024-09-05,,,0.45,none,2024/11/6 AL PM,2024/11/6 AL PM,6.21
RAB_45540,27,RAB_45540yn,Rand Brook,RAB,2024-09-05,,1,1.2,none,2024/11/6 RC,2024/11/6 RC,6.05
RAB_45547,28,RAB_45547zn,Rand Brook,RAB,2024-09-12,,,0.45,none,2024-11-6 CS MB,2024-11-6 CS MB,6.02
RAB_45547,29,RAB_45547yn,Rand Brook,RAB,2024-09-12,,,1.2,none,2024/11/6 RC,2024/11/6 RC,3.69
