date	stream-name	site-code	TDS_ppm	Temp_C	sCond	Conductivity_uS	pH	DO_sat	DO_mgL
5/26/2021	Avery Brook	AVB	18.9	13.5		21.7	6.45	76	6.13
7/16/2021	Avery Brook	AVB	15.7	17	23.4	19.8	6.09	82	
6/14/2023	Avery Brook	AVB		13	24.6	18.9	6.23	81	
5/24/2024	Avery Brook	AVB	15.9	13.2	22.9	17.8	6.05	79	8.1
6/12/2024	Avery Brook	AVB	18.3	12.9	26.4	20.2	6.54	79	8.2
8/22/2024	Avery Brook	AVB	21.4	14	29.3	23.1	6.9	75	7.6
5/21/2021	Back Mountain Brook	BMB	51	11.7		79.6		88	9.59
7/14/2021	Back Mountain Brook	BMB	30.2	14.5	44.1	35.3	6.55	98	9.99
8/13/2021	Back Mountain Brook	BMB	51.9	17.7	144.5	124.8	6.3	96	
6/14/2023	Back Mountain Brook	BMB		13.7	96.2	75.3	6.51	95	
9/5/2024	Back Mountain Brook	BMB	38.7	13.7	59.1	46.3	6.31	112	11
5/24/2021	Bicknell Brook	BIB	15.6	11.4		15.7	5.65	83	6.69
6/26/2021	Bicknell Brook	BIB	17.9	14.9	21.1	26.1	6.58	93	9.42
7/22/2021	Bicknell Brook	BIB	10.4	15.4	16.3	13.3	6.28	96	
8/21/2021	Bicknell Brook	BIB	14	18.4	37	32.4	6.5	70	
10/24/2023	Bicknell Brook	BIB		9.7	17.7	12.5	7.15	95	
7/15/2024	Bicknell Brook	BIB	20.7	19.4	29.3	26.1	6.49	72	6.4
8/29/2024	Bicknell Brook	BIB	20.4	15.5	29.6	24.3	7.16	82	8.1
5/21/2021	Brennan Brook	BRB	12.9	16.2		21.6		89	8.72
7/14/2021	Brennan Brook	BRB	11.7	17.6	18.1	15.5	6.12	95	9.08
8/13/2021	Brennan Brook	BRB	14.4	24	38.3	37.5	6.54	74	
7/12/2024	Brennan Brook	BRB	20.4	19.8	30.1	27.1	6.98	78	6.9
8/24/2024	Brennan Brook	BRB	18.2	14.8	26.5	21.3	8.67	89	8.7
7/12/2024	Brennan Falls	BRF	20.1	21.3	29.2	27.1	6.71	86	7.4
8/24/2024	Brennan Falls	BRF	18.3	15.7	26.9	22	7.59	90	8.8
5/19/2021	French Brook	FRB		12.2				90	9.7
6/26/2021	French Brook	FRB	12.7	15.2	16.9	20.8	6.02	87	8.74
7/22/2021	French Brook	FRB	14.4	15.7	14.4	11.9	6.4	97	
8/21/2021	French Brook	FRB	11	18.9	33.3	29.5	6.52	67	
7/2/2024	French Brook	FRB	15.9	16.1	22.5	18.7	7	80	7.6
8/29/2024	French Brook	FRB	17.9	16.4	26.4	22	6.45	98	9.4
5/21/2021	Hardwick Brook	HWB	22.8	12.5		35.4		87	9.25
7/14/2021	Hardwick Brook	HWB	19.8	14.6	28.6	22.9	7.15	97	9.87
8/13/2021	Hardwick Brook	HWB	24.4	19.3	68.4	60.9	6.8	94	
7/5/2024	Hardwick Brook	HWB	30.2	17.8	43.2	37.2	7.07	73	6.7
9/12/2024	Hardwick Brook	HWB	32.2	13.7	47	36.8	6.82	87	8.7
