EPAREGION	Site Name	State	County	NTL	PTL	MMI_WSABEST		
REGION__1	AEGAN BROOK	MAINE	AROOSTOOK	150	1	67.68773163		
REGION__1	PETITE BROOK	MAINE	AROOSTOOK	245	6	69.77789683		
REGION__1	HALFWAY BROOK	MAINE	AROOSTOOK	351	4	67.68792477		
REGION__1	DEPOT STREAM	MAINE	AROOSTOOK	401	5	86.01354295		
REGION__1	SNARE BROOK	MAINE	PISCATAQUIS	268	6	75.41918645		
REGION__1	R. DE CHUTE	MAINE	AROOSTOOK	439	8	42.8693316		
REGION__1	CHURCH HILL CREEK	MAINE	SOMERSET	285	4	76.09079281		
REGION__1	LOGAN BROOK	MAINE	SOMERSET	275	2	81.86545329		
REGION__1	GREENLEAF BROOK	MAINE	AROOSTOOK	715	192	51.46429938		
REGION__1	BLACK CREEK	VERMONT	FRANKLIN	405	23	32.61442025		
REGION__1	WILLOUGHBY RIVER	VERMONT	ORLEANS	375	17	76.04810957		
REGION__1	HORSESHOE STREAM	MAINE	FRANKLIN	283	1	75.27599027		
REGION__1	CEDAR STREAM	NEW HAMPSHIRE	COOS	290	2	79.45924062		
REGION__1	CARRYING PLACE STREAM	MAINE	SOMERSET	270	3	56.22080251		
REGION__1	SCHOODIC BROOK	MAINE	PISCATAQUIS	178	1	79.8181309		
REGION__1	KENDUSKEAG RIVER	MAINE	PENOBSCOT	483	5	41.87255402		
REGION__1	SPRUCE BROOK	MAINE	PENOBSCOT	304	3	38.6590206		
REGION__1	WINOOSKI RIVER	VERMONT	WASHINGTON	320	19	22.02674672		
REGION__1	MILLER RUN	VERMONT	CALEDONIA	341	4	69.40282138		
REGION__1	HARDY STREAM	MAINE	FRANKLIN	159	21	47.45422263		
REGION__1	BEAR RIVER	MAINE	OXFORD	115	1	72.3635306		
REGION__1	HIGGINS BROOK	MAINE	SOMERSET	212	2	78.16304102		
REGION__1	JELLISON MEADOW BROOK	MAINE	HANCOCK	283	5	68.3318408		
REGION__1	THIRD BRANCH WHITE RIVER	VERMONT	ORANGE	239	2	74.32630326		
REGION__1	HUNTINGTON RIVER	VERMONT	ADDISON	109	1	64.16155968		
REGION__1	INDIAN RIVER	NEW HAMPSHIRE	GRAFTON	308	10	68.11459714		
REGION__1	BEECH RIVER	NEW HAMPSHIRE	CARROLL	268	9	83.29363431		
REGION__1	METTAWEE RIVER	VERMONT	BENNINGTON	324	1	44.96081526		
REGION__1	WARREN BROOK	NEW HAMPSHIRE	CHESHIRE	213	2	51.24355095		
REGION__1	COCHECO RIVER	NEW HAMPSHIRE	STRAFFORD	671	28	52.30481127		
REGION__1	KENNEBUNK RIVER	MAINE	YORK	603	27	20.89615937		
REGION__1	SAWMILL RIVER	MASSACHUSETTS	FRANKLIN	436	8	68.08958964		
REGION__1	DINSMORE POND STREAM	NEW HAMPSHIRE	HILLSBOROUGH	271	8	58.75577073		
REGION__1	BEAVER BROOK	NEW HAMPSHIRE	ROCKINGHAM	824	16	13.83905764		
REGION__1	MILL BROOK	CONNECTICUT	LITCHFIELD	605	52	60.70132079		
REGION__1	WILLAMANTIC RIVER	CONNECTICUT	TOLLAND	491	18	63.43140977		
REGION__1	STOP BROOK	MASSACHUSETTS	NORFOLK	788	143	52.30365365		
REGION__1	LONGWATER BROOK	MASSACHUSETTS	PLYMOUTH	1276	21	17.38103379		
REGION__1	SAUGATUCK	CONNECTICUT	FAIRFIELD	368	23	53.38832072		
REGION__1	STEELE BROOK	CONNECTICUT	HARTFORD	890	19	62.77384758		
REGION__1	PEASE BROOK	CONNECTICUT	NEW LONDON	2319	49	52.20380751		
REGION__1	GREAT SWAMP BROOK	RHODE ISLAND	NEWPORT	849	95	70.07610834		
REGION__2	UNKNOWN	NEW YORK	ORANGE	604	24	9.42253158		
REGION__2	WOLF RUN	NEW YORK	CATTARAUGUS	258	10	48.94993633		
REGION__2	MUNGER BROOK	NEW YORK	MADISON	4163	95	21.3751457		
REGION__2	JORDAN RIVER	NEW YORK	FRANKLIN	476	22	29.24652065		
REGION__2	TOMS RIVER	NEW JERSEY	MONMOUTH	1595	39	57.76948883		
REGION__2	UT TO SALMON CREEK	NEW YORK	CAYUGA	2969	50	0		
REGION__2	WHITMAN FLOWAGE	NEW YORK	FULTON	516	25	32.11426461		
REGION__2	UNKNOWN	NEW JERSEY	CAMDEN	1266	140	18.36924179		
REGION__2	KENNON BROOK	NEW YORK	CLINTON	524	32	47.93561957		
REGION__2	U.T. TO ALQUATKA BRANCH	NEW JERSEY	BURLINGTON	2049	128	48.56163182		
REGION__2	UNKNOWN	NEW YORK	LIVINGSTON	834	22	38.62918289		
REGION__2	BUSHKILL	NEW YORK	SULLIVAN	355	23	6.252851706		
REGION__2	TACKAWASICK CREEK	NEW YORK	RENSSELAER	383	15	69.8633156		
REGION__2	UNKNOWN TRIB	NEW YORK	HERKIMER	643	16	5.619295958		
REGION__2	UNKNOWN	NEW YORK	LIVINGSTON	899	119	11.63485026		
REGION__2	U.T. TO TAGHKANIC CREEK	NEW YORK	COLUMBIA	830	25	19.86961896		
REGION__2	MUD CREEK	NEW YORK	NIAGARA	1418	165	3.416440979		
REGION__2	UT TO PAGE BROOK	NEW YORK	CHENANGO	379	47	5.811270933		
REGION__2	BARTON BROOK	NEW YORK	ST. LAWRENCE	648	51	19.43088981		
REGION__2	SHEQUAGA CREEK	NEW YORK	SCHUYLER	358	28	19.73072266		
REGION__2	HERZOG BROOK	NEW JERSEY	SOMERSET	804	14	65.461058		
REGION__2	SPROUT CREEK	NEW YORK	DUTCHESS	681	18	46.47010708		
REGION__2	SLATER CREEK	NEW YORK	MONROE	898	116	1.379071379		
REGION__2	CHARLOTTE CREEK	NEW YORK	SCHOHARIE	226	16	61.58143512		
REGION__2	COLE BROOK	NEW YORK	SCHOHARIE	216	27	56.55314764		
REGION__2	BLACK CREEK	NEW YORK	JEFFERSON	318	9	49.62534566		
REGION__2	U.T. TO POPHANDUSING BROOK	NEW JERSEY	WARREN	1818	14	20.06230951		
REGION__2	UT TO WOLCOTT CK	NEW YORK	WAYNE	1438	85	0		
REGION__2	OTSELIC RIVER	NEW YORK	CORTLAND	743	18	73.84815154		
REGION__2	UT TO STONEY CREEK	NEW YORK	COLUMBIA	1409	208	1.825218795		
REGION__2	TROUT BROOK	NEW YORK	ST. LAWRENCE	661	20	79.29107932		
REGION__3	NO NAME	PENNSYLVANIA	CHESTER	2475	15	40.14621466		
REGION__3	COD CREEK	DELAWARE	SUSSEX	7856	6	49.97672284		
REGION__3	LITTLE FORK	WEST VIRGINIA	WEBSTER	231	4	46.90930775		
REGION__3	MYERS FORK	WEST VIRGINIA	RITCHIE	339	39	55.54466734		
REGION__3	WILLIAMS RUN	PENNSYLVANIA	JEFFERSON	209	6	8.550471205		
REGION__3	BULL RUN CREEK	MARYLAND	BALTIMORE	1868	22	24.42617681		
REGION__3	TROUGH SPRING BRANCH TUSCARORA CREEK	PENNSYLVANIA	HUNTINGDON	1818	8	27.8520856		
REGION__3	BEAR CREEK	MARYLAND	GARRETT	1026	17	77.63941141		
REGION__3	O'BRIEN CREEK	WEST VIRGINIA	GILMER	245	15	37.2424595		
REGION__3	EAST BRANCH CODORUS CREEK	PENNSYLVANIA	YORK	5881	5	46.66582983		
REGION__3	UNKNOWN TRIB. TO S. BR. OSWAYO CR.	PENNSYLVANIA	POTTER	999	35	5.764411028		
REGION__3	SOUTH DRY RUN	PENNSYLVANIA	BLAIR	586	7	43.4710033		
REGION__3	NORTH DEER CREEK	PENNSYLVANIA	MERCER	1099	14	61.77745754		
REGION__3	PANTHER FORK	WEST VIRGINIA	UPSHUR	263	3	24.25041757		
REGION__3	MEETINGHOUSE CREEK	PENNSYLVANIA	LANCASTER	11338	112	10.78170627		
REGION__3	BRUSH CREEK	PENNSYLVANIA	BEAVER	6288	155	19.13069276		
REGION__3	MILL CREEK	MARYLAND	CECIL	1686	7	49.14888092		
REGION__3	MASSEY BRANCH	MARYLAND	WORCESTER	624	23	28.88383653		
REGION__3	WATTS BRANCH	MARYLAND	MONTGOMERY	1714	23	13.6502419		
REGION__3	ELK RUN	PENNSYLVANIA	TIOGA	516	21	54.68727034		
REGION__3	SOUTH BRANCH PATAPSCO RIVER	MARYLAND	CARROLL	3231	292	36.56361653		
REGION__3	STARRUCA CREEK	PENNSYLVANIA	SUSQUEHANNA	366	15	54.69463476		
REGION__3	NO NAME	PENNSYLVANIA	SNYDER	940	16	47.53960126		
