site-ID	sample-date	phylum	subphylum	class	order	family	genus	species	identifier	ID-confirmation	archive-locat	notes
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	CS	FD	elmidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Ptilodactylidae	sp	sp	CS	FD	ptilodactylidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Diptera	Athericidae	sp	sp	JC	EA	athericidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Diptera	Athericidae	sp	sp			athericidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Diptera	Limoniidae	sp	sp	JC	CS	limoniidae_01_RAND-2024-10-02	not definitive
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Diptera	Limoniidae	sp	sp			limoniidae_01_RAND-2024-10-02	not definitive
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	HW	PM	simuliidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Ephemerellidae	sp	sp	CS	EA	ephemerellidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	FD	CS	heptageniidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Isonychiidae	sp	sp	FD	CS	isonychiidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Isonychiidae	sp	sp	FD	CS	isonychiidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Isonychiidae	sp	sp	FD	CS	isonychiidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Hemiptera	Veliidae	sp	sp	CS	FD	veliidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Megaloptera	Corydalidae	sp	sp	MB	AL	corydalidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Megaloptera	Corydalidae	sp	sp	AL	MB	corydalidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Megaloptera	Corydalidae	sp	sp	RC	EC	corydalidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Megaloptera	Corydalidae	sp	sp	RC	EC	megaloptera 1	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	AL	MB	aeshnidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	AL	MB	aeshnidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	JC	EA	aeshnidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	JC	EA	aeshnidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	PM	HW	aeshnidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	AF	CS	aeshnidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	AF	CS	aeshnidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	RC	EC	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	PM	HW	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	EC	RC	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	EC	RC	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	RC	EC	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	EC	RC	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	AL	MB	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	JC	EA	aeshnidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	CS	AF	aeshnidae_03_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	sp	sp	PM	HW	aeshnidae_03_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	CS	AF	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	PM	HW	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	AL	MB	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	AL	MB	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	AL	MB	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	MB	AL	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	AF	CS	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	CS	AF	gomphidae_01_RAND-2024-10-02	odonata
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	AF	CS	gomphidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	AF	CS	gomphidae_02_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Peltoperlidae	sp	sp	RC	EC	peltoperlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	FD	CS	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	FD	CS	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	FD	CS	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	CS	AF	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	AF	CS	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	HW	PM	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	PM	HW	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	CS	EA	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae			PM	HW	perlidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Pteronarcyidae	sp	sp	FD	CS	pteronarcyidae_01_RAND-2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	AL	MB	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	AL	MB	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	RC	EC	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	JC	EA	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	JC	EA	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	EA	JC	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	JC	EA	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	JC	EA	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	SO	JC	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	PM	HW	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	CS	AF	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	AF	CS	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	AF	CS	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	AF	CS	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	AF	CS	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Brachycentridae	sp	sp	AF	CS	Brachycentridae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	AL	MB	Hydropsychidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	AL	MB	Hydropsychidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	JC	EA	Hydropsychidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	JC	EA	Hydropsychidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	JC	EA	Hydropsychidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	JC	EA	Hydropsychidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	AF	CS	Hydropsychidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Philopotamidae	sp	sp	JC	EA	Philopotamidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Philopotamidae	sp	sp	JC	EA	Philopotamidae_01_RAND_2024-10-02	
RAND	2024-10-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Psychomyiidae	sp	sp	AF	CS	Pyschomyiidae_01_RAND_2024-10-02	
