site-ID	sample-date	phylum	subphylum	class	order	family	genus	species	identifier	ID-confirmation	archive-locat	notes
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	JC	EC	Elmidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	JC	EC	Elmidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Limoniidae	sp	sp	JC	EC	Limoniidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Limoniidae	sp	sp	JC	EC	Limoniidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Limoniidae	sp	sp	JC	EC	Limoniidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
SCHB	2024-10-23	Arthropoda	Hexapoda	Insecta	Diptera	Tipulidae	sp	sp	JC	EC	Tipulidae_SCHB_2024-10-23	
