"STATION","NAME","DATE","PRCP"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-04","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-05","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-06","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-07","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-08","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-09","0.20"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-10","0.03"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-11","0.67"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-12","1.30"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-13","0.02"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-14","0.14"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-15","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-16","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-17","0.02"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-18","0.05"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-19","1.41"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-09-20","0.03"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-01",
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-02","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-03","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-04","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-06","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-07","0.49"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-08","1.54"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-09","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-10","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-11","0.02"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-12","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-13","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-14","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-15","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-16","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-17","0.14"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-18","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-19","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-20","0.00"
"US1NHHL0049","MONT VERNON 1.3 SSW, NH US","2023-10-21","0.13"
