# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-09-04 11:28:39 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01091000 SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01091000
#            TS   parameter     statistic     Description
#         64046       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64046_00060_00003	64046_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01091000	2023-09-05	39.5	A
USGS	01091000	2023-09-06	36.2	A
USGS	01091000	2023-09-07	34.1	A
USGS	01091000	2023-09-08	32.6	A
USGS	01091000	2023-09-09	38.3	A
USGS	01091000	2023-09-10	52.6	A
USGS	01091000	2023-09-11	283	A
USGS	01091000	2023-09-12	601	A
USGS	01091000	2023-09-13	243	A
USGS	01091000	2023-09-14	175	A
USGS	01091000	2023-09-15	118	A
USGS	01091000	2023-09-16	89.3	A
USGS	01091000	2023-09-17	69.7	A
USGS	01091000	2023-09-18	82.7	A
USGS	01091000	2023-09-19	370	A
USGS	01091000	2023-09-20	230	A
USGS	01091000	2023-09-21	147	A
USGS	01091000	2023-09-22	108	A
USGS	01091000	2023-09-23	88.3	A
USGS	01091000	2023-09-24	83.6	A
USGS	01091000	2023-09-25	81.1	A
USGS	01091000	2023-09-26	75.3	A
USGS	01091000	2023-09-27	62.6	A
USGS	01091000	2023-09-28	57.1	A
USGS	01091000	2023-09-29	72.1	A
USGS	01091000	2023-09-30	227	A
USGS	01091000	2023-10-01	158	A
USGS	01091000	2023-10-02	112	A
USGS	01091000	2023-10-03	88.9	A
USGS	01091000	2023-10-04	74.8	A
USGS	01091000	2023-10-05	68.6	A
USGS	01091000	2023-10-06	65.6	A
USGS	01091000	2023-10-07	82.1	A
USGS	01091000	2023-10-08	211	A
USGS	01091000	2023-10-09	159	A
USGS	01091000	2023-10-10	114	A
USGS	01091000	2023-10-11	94.7	A
USGS	01091000	2023-10-12	83.5	A
USGS	01091000	2023-10-13	75.0	A
USGS	01091000	2023-10-14	65.8	A
USGS	01091000	2023-10-15	61.8	A
USGS	01091000	2023-10-16	62.9	A
USGS	01091000	2023-10-17	76.4	A
USGS	01091000	2023-10-18	78.9	A
USGS	01091000	2023-10-19	79.8	A
USGS	01091000	2023-10-20	75.7	A
USGS	01091000	2023-10-21	135	A
USGS	01091000	2023-10-22	319	A
USGS	01091000	2023-10-23	193	A
USGS	01091000	2023-10-24	137	A
USGS	01091000	2023-10-25	115	A
USGS	01091000	2023-10-26	105	A
USGS	01091000	2023-10-27	102	A
USGS	01091000	2023-10-28	94.9	A
USGS	01091000	2023-10-29	88.1	A
