"STATION","NAME","DATE","PRCP"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-20","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-21","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-22","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-23","0.29"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-24","0.06"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-25","0.27"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-26","0.01"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-28","0.06"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-29","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-09-30","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-01","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-02","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-03","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-04","0.62"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-05","0.58"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-06","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-07","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-08","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-09","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-10","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-11","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-12","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-14","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-15","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-16","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-17","0.45"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-18","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-19","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-20","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-21","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-22","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-23","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-24","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-25","0.42"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-26","0.48"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-27","0.50"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-28","0.06"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2021-10-29","0.00"
