Block Type,96well,,,
Chemistry,TAQMAN,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,
Instrument Type,steponeplus,,,
Passive Reference,ROX,,,
,,,,
Well,Cycle,Target Name,Rn,?Rn
A1,1,BRK2,0.379346341,-0.009183582
A1,2,BRK2,0.384507537,-0.004944306
A1,3,BRK2,0.387345493,-0.00302827
A1,4,BRK2,0.390126884,-0.001168799
A1,5,BRK2,0.391577721,-0.000639882
A1,6,BRK2,0.395245016,0.002105493
A1,7,BRK2,0.395423859,0.001362417
A1,8,BRK2,0.395989269,0.001005906
A1,9,BRK2,0.396495581,0.000590298
A1,10,BRK2,0.397444606,0.000617403
A1,11,BRK2,0.397800148,5.10253E-05
A1,12,BRK2,0.398575366,-9.56766E-05
A1,13,BRK2,0.400146633,0.000553671
A1,14,BRK2,0.400958955,0.000444073
A1,15,BRK2,0.402003437,0.000566635
A1,16,BRK2,0.402942032,0.00058331
A1,17,BRK2,0.403670162,0.00038952
A1,18,BRK2,0.404099017,-0.000103544
A1,19,BRK2,0.405305326,0.000180844
A1,20,BRK2,0.405893654,-0.000152748
A1,21,BRK2,0.406024665,-0.000943657
A1,22,BRK2,0.407000691,-0.000889551
A1,23,BRK2,0.4080486,-0.000763561
A1,24,BRK2,0.408704847,-0.001029234
A1,25,BRK2,0.409462035,-0.001193966
A1,26,BRK2,0.409838766,-0.001739155
A1,27,BRK2,0.412099957,-0.000399883
A1,28,BRK2,0.413673818,0.000252057
A1,29,BRK2,0.417788953,0.003445272
A1,30,BRK2,0.425140351,0.009874751
A1,31,BRK2,0.437853664,0.021666143
A1,32,BRK2,0.463391215,0.046281774
A1,33,BRK2,0.510940611,0.092909254
A1,34,BRK2,0.598417938,0.179464653
A1,35,BRK2,0.749639034,0.32976383
A1,36,BRK2,0.986525834,0.565728724
A1,37,BRK2,1.311720967,0.890001953
A1,38,BRK2,1.695058346,1.272417426
A1,39,BRK2,2.086363316,1.662800431
A1,40,BRK2,2.458360195,2.033875465
A2,1,BRK2,0.437321484,-0.003233182
A2,2,BRK2,0.441500187,0.000299297
A2,3,BRK2,0.442221254,0.000374139
A2,4,BRK2,0.442926079,0.000432739
A2,5,BRK2,0.44402954,0.000889975
A2,6,BRK2,0.444780558,0.000994769
A2,7,BRK2,0.444852948,0.000420934
A2,8,BRK2,0.445365041,0.000286803
A2,9,BRK2,0.445822299,9.78353E-05
A2,10,BRK2,0.446181804,-0.000188884
A2,11,BRK2,0.447268039,0.000251126
A2,12,BRK2,0.447699428,3.62903E-05
A2,13,BRK2,0.448362619,5.32566E-05
A2,14,BRK2,0.448781282,-0.000174305
A2,15,BRK2,0.449727863,0.000126052
A2,16,BRK2,0.449982494,-0.000265542
A2,17,BRK2,0.450659186,-0.000235075
A2,18,BRK2,0.45064038,-0.000900105
A2,19,BRK2,0.451372296,-0.000814415
A2,20,BRK2,0.452118278,-0.000714657
A2,21,BRK2,0.451982021,-0.001497138
A2,22,BRK2,0.452856302,-0.001269082
A2,23,BRK2,0.453390777,-0.001380832
A2,24,BRK2,0.454054832,-0.001363001
A2,25,BRK2,0.4548558,-0.001208259
A2,26,BRK2,0.455309123,-0.00140116
A2,27,BRK2,0.456608176,-0.000748332
A2,28,BRK2,0.457857519,-0.000145213
A2,29,BRK2,0.460804284,0.002155326
A2,30,BRK2,0.465481937,0.006186755
A2,31,BRK2,0.474623919,0.014682512
A2,32,BRK2,0.491429418,0.030841786
A2,33,BRK2,0.523295581,0.062061723
A2,34,BRK2,0.582955301,0.12107522
A2,35,BRK2,0.690380573,0.227854267
A2,36,BRK2,0.871344447,0.408171922
A2,37,BRK2,1.140494823,0.676676095
A2,38,BRK2,1.489836693,1.025371671
A2,39,BRK2,1.877872705,1.41276145
A2,40,BRK2,2.262127161,1.796369791
A3,1,BRK2,0.329592317,-0.009365642
A3,2,BRK2,0.335516721,-0.004778991
A3,3,BRK2,0.338842899,-0.002790566
A3,4,BRK2,0.341719896,-0.001251321
A3,5,BRK2,0.343722433,-0.000586536
A3,6,BRK2,0.344990581,-0.00065614
A3,7,BRK2,0.346891522,-9.29517E-05
A3,8,BRK2,0.348994464,0.000672237
A3,9,BRK2,0.350611001,0.000951022
A3,10,BRK2,0.352128029,0.001130298
A3,11,BRK2,0.353345335,0.001009851
A3,12,BRK2,0.355131119,0.001457884
A3,13,BRK2,0.356241345,0.001230357
A3,14,BRK2,0.3571738,0.00082506
A3,15,BRK2,0.358888716,0.001202222
A3,16,BRK2,0.359945416,0.000921171
A3,17,BRK2,0.36063984,0.000277842
A3,18,BRK2,0.362538606,0.000838856
A3,19,BRK2,0.363635212,0.00059771
A3,20,BRK2,0.364093512,-0.000281743
A3,21,BRK2,0.365490407,-0.000222601
A3,22,BRK2,0.366378129,-0.000672631
A3,23,BRK2,0.367400348,-0.000988164
A3,24,BRK2,0.368330896,-0.001395369
A3,25,BRK2,0.369538307,-0.00152571
A3,26,BRK2,0.370467275,-0.001934494
A3,27,BRK2,0.372049242,-0.001690279
A3,28,BRK2,0.374242157,-0.000835117
A3,29,BRK2,0.376346678,-6.83489E-05
A3,30,BRK2,0.381630242,0.003877463
A3,31,BRK2,0.389456809,0.010366278
A3,32,BRK2,0.404558122,0.024129838
A3,33,BRK2,0.43256557,0.050799534
A3,34,BRK2,0.48347193,0.100368142
A3,35,BRK2,0.573486328,0.189044788
A3,36,BRK2,0.722098947,0.336319655
A3,37,BRK2,0.934660494,0.547543466
A3,38,BRK2,1.206259727,0.817804933
A3,39,BRK2,1.502013087,1.112220526
A3,40,BRK2,1.795875549,1.404745221
A4,1,BRK2,0.326858819,-0.006797485
A4,2,BRK2,0.331904799,-0.003067867
A4,3,BRK2,0.335146874,-0.001142153
A4,4,BRK2,0.33729142,-0.00031397
A4,5,BRK2,0.338751078,-0.000170674
A4,6,BRK2,0.340260595,2.24808E-05
A4,7,BRK2,0.341662228,0.000107752
A4,8,BRK2,0.343203008,0.000332169
A4,9,BRK2,0.344682574,0.000495373
A4,10,BRK2,0.346093565,0.000590002
A4,11,BRK2,0.34715578,0.000335854
A4,12,BRK2,0.348727852,0.000591564
A4,13,BRK2,0.350434542,0.000981892
A4,14,BRK2,0.351275265,0.000506253
A4,15,BRK2,0.352572858,0.000487484
A4,16,BRK2,0.354044586,0.00064285
A4,17,BRK2,0.354826182,0.000108083
A4,18,BRK2,0.355890006,-0.000144456
A4,19,BRK2,0.357089609,-0.000261215
A4,20,BRK2,0.357947856,-0.00071933
A4,21,BRK2,0.358889282,-0.001094266
A4,22,BRK2,0.360165626,-0.001134285
A4,23,BRK2,0.361127675,-0.001488598
A4,24,BRK2,0.362474829,-0.001457806
A4,25,BRK2,0.363930881,-0.001318116
A4,26,BRK2,0.365939587,-0.000625772
A4,27,BRK2,0.368728429,0.000846707
A4,28,BRK2,0.373020262,0.003822178
A4,29,BRK2,0.381400049,0.010885603
A4,30,BRK2,0.397006631,0.025175823
A4,31,BRK2,0.425419986,0.052272815
A4,32,BRK2,0.478438973,0.103975438
A4,33,BRK2,0.572367907,0.19658801
A4,34,BRK2,0.729058087,0.351961821
A4,35,BRK2,0.957427323,0.579014719
A4,36,BRK2,1.249279857,0.869550884
A4,37,BRK2,1.572672129,1.191626787
A4,38,BRK2,1.890909791,1.508548141
A4,39,BRK2,2.179216623,1.795538545
A4,40,BRK2,2.420517206,2.035522699
A5,1,BRK2,0.398888826,-0.006607956
A5,2,BRK2,0.403904587,-0.002214927
A5,3,BRK2,0.40628171,-0.000460535
A5,4,BRK2,0.407985479,0.000620503
A5,5,BRK2,0.408002317,1.46098E-05
A5,6,BRK2,0.408882439,0.000272001
A5,7,BRK2,0.409819126,0.000585957
A5,8,BRK2,0.41071856,0.00086266
A5,9,BRK2,0.410582751,0.000104119
A5,10,BRK2,0.411718756,0.000617393
A5,11,BRK2,0.411882252,0.000158158
A5,12,BRK2,0.412655145,0.00030832
A5,13,BRK2,0.413490057,0.000520501
A5,14,BRK2,0.413506985,-8.53025E-05
A5,15,BRK2,0.414232969,1.79509E-05
A5,16,BRK2,0.414360821,-0.000476928
A5,17,BRK2,0.415342152,-0.000118328
A5,18,BRK2,0.415347219,-0.000735993
A5,19,BRK2,0.415891975,-0.000813968
A5,20,BRK2,0.416524768,-0.000803906
A5,21,BRK2,0.417122453,-0.000828952
A5,22,BRK2,0.417415112,-0.001159024
A5,23,BRK2,0.417510301,-0.001686566
A5,24,BRK2,0.418792456,-0.001027142
A5,25,BRK2,0.420029253,-0.000413077
A5,26,BRK2,0.420006782,-0.001058279
A5,27,BRK2,0.421591848,-9.59436E-05
A5,28,BRK2,0.422277719,-3.28041E-05
A5,29,BRK2,0.424437195,0.001503941
A5,30,BRK2,0.427766621,0.004210636
A5,31,BRK2,0.433959723,0.009781007
A5,32,BRK2,0.446077377,0.02127593
A5,33,BRK2,0.468173146,0.042748969
A5,34,BRK2,0.511442006,0.085395098
A5,35,BRK2,0.589128435,0.162458792
A5,36,BRK2,0.725709736,0.29841736
A5,37,BRK2,0.946924865,0.519009769
A5,38,BRK2,1.2569592,0.828421354
A5,39,BRK2,1.63574481,1.206584215
A5,40,BRK2,2.038691044,1.6089077
A6,1,BRK2,0.419391394,-0.008104849
A6,2,BRK2,0.425214112,-0.003136272
A6,3,BRK2,0.428218126,-0.000986398
A6,4,BRK2,0.429826081,-0.000232584
A6,5,BRK2,0.431295872,0.000383066
A6,6,BRK2,0.432119817,0.00035287
A6,7,BRK2,0.433284819,0.000663732
A6,8,BRK2,0.434042424,0.000567196
A6,9,BRK2,0.434418768,8.93991E-05
A6,10,BRK2,0.436101466,0.000917957
A6,11,BRK2,0.436311066,0.000273416
A6,12,BRK2,0.437415034,0.000523243
A6,13,BRK2,0.438245505,0.000499574
A6,14,BRK2,0.438755125,0.000155052
A6,15,BRK2,0.439751834,0.000297621
A6,16,BRK2,0.44034791,3.95561E-05
A6,17,BRK2,0.441098452,-6.4043E-05
A6,18,BRK2,0.442010492,-6.14324E-06
A6,19,BRK2,0.442611784,-0.000258992
A6,20,BRK2,0.44319424,-0.000530677
A6,21,BRK2,0.443150967,-0.00142809
A6,22,BRK2,0.444698721,-0.000734477
A6,23,BRK2,0.44473666,-0.00155068
A6,24,BRK2,0.44581303,-0.00132845
A6,25,BRK2,0.446416289,-0.001579332
A6,26,BRK2,0.44759649,-0.001253271
A6,27,BRK2,0.447941095,-0.001762807
A6,28,BRK2,0.450144649,-0.000413394
A6,29,BRK2,0.453101933,0.001689749
A6,30,BRK2,0.457943231,0.005676907
A6,31,BRK2,0.467440367,0.014319901
A6,32,BRK2,0.484343976,0.030369369
A6,33,BRK2,0.517630458,0.062801711
A6,34,BRK2,0.578653991,0.122971103
A6,35,BRK2,0.686216176,0.229679152
A6,36,BRK2,0.863852978,0.406461805
A6,37,BRK2,1.118082523,0.659837186
A6,38,BRK2,1.420512676,0.961413205
A6,39,BRK2,1.727919817,1.26796627
A6,40,BRK2,2.025597095,1.564789414
A7,1,BRK2,0.308858663,-0.005714736
A7,2,BRK2,0.313434869,-0.002400326
A7,3,BRK2,0.316294163,-0.000802827
A7,4,BRK2,0.31797719,-0.000381596
A7,5,BRK2,0.320295453,0.000674872
A7,6,BRK2,0.321158201,0.000275824
A7,7,BRK2,0.322304726,0.000160554
A7,8,BRK2,0.324031591,0.000625624
A7,9,BRK2,0.325029999,0.000362236
A7,10,BRK2,0.326381445,0.000451887
A7,11,BRK2,0.328182578,0.000991224
A7,12,BRK2,0.328949243,0.000496094
A7,13,BRK2,0.330042303,0.000327358
A7,14,BRK2,0.331731558,0.000754818
A7,15,BRK2,0.332707196,0.000468661
A7,16,BRK2,0.33329159,-0.000208741
A7,17,BRK2,0.334675252,-8.68742E-05
A7,18,BRK2,0.335438222,-0.0005857
A7,19,BRK2,0.336166024,-0.001119693
A7,20,BRK2,0.337673128,-0.000874385
A7,21,BRK2,0.338874459,-0.000934849
A7,22,BRK2,0.340116322,-0.000954782
A7,23,BRK2,0.340388924,-0.001943976
A7,24,BRK2,0.341801554,-0.001793141
A7,25,BRK2,0.342978776,-0.001877715
A7,26,BRK2,0.345314622,-0.000803664
A7,27,BRK2,0.346641123,-0.000738958
A7,28,BRK2,0.350073487,0.00143161
A7,29,BRK2,0.355989814,0.006086141
A7,30,BRK2,0.365737259,0.014571792
