Block Type,96well,,
Chemistry,TAQMAN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,FAM,ROX
A1,1,7564.38623,19940.58008
A2,1,15629.0791,35738.19141
A3,1,9643.170898,29257.875
A4,1,10227.19043,31289.32031
A5,1,8319.287109,20856.1543
A6,1,9070.71582,21628.2832
A7,1,8473.134766,27433.69727
A8,1,10622.32422,32253.64844
A9,1,9234.686523,28993.40039
A10,1,8044.440918,20094.95703
A11,1,7801.666992,18566.67578
A12,1,7404.851563,18189.56836
B1,1,7731.176758,19875.76758
B2,1,9105.146484,23378.39844
B3,1,11063.30371,32748.49023
B4,1,10619.26074,32003.29883
B5,1,8777.692383,21106.50586
B6,1,9969.146484,23013.51563
B7,1,9496.40918,29678.89844
B8,1,10428.72852,31778.36719
B9,1,10670.14941,31864.22656
B10,1,9078.466797,22172.49023
B11,1,8438.402344,20486.11133
B12,1,9299.80957,21380.67188
C1,1,8848.629883,21526.93555
C2,1,8704.606445,22259.20898
C3,1,11395.96875,33699.39453
C4,1,12137.00586,36065.71875
C5,1,9582.205078,22992.69336
C6,1,12722.58789,28756.23438
C7,1,9153.87207,22920.93555
C8,1,11642.89648,34826.76563
C9,1,10783.61133,31526.50977
C10,1,9376.864258,22551.70703
C11,1,8416.760742,20800.67188
C12,1,9927.342773,22672.37695
D1,1,9103.811523,21815.68555
D2,1,8769.675781,22267.4082
D3,1,10443.23535,31499.55469
D4,1,10397.79688,31823.73242
D5,1,9555.655273,22930.47852
D6,1,9470.298828,22371.89063
D7,1,6866.759277,17988.51172
D8,1,11348.58594,33999.77734
D9,1,11276.53125,33349.92969
D10,1,9000.768555,21897.24805
D11,1,7646.013672,19412.41406
D12,1,10114.77832,23088.08008
E1,1,8727.431641,21455.29492
E2,1,8449.271484,21489.14063
E3,1,10118.42188,30757.8418
E4,1,13422.23145,38889.82031
E5,1,11920.41797,24795.71484
E6,1,9435.750977,22011.79492
E7,1,6012.945313,16292.26367
E8,1,11778.02637,34245.84766
E9,1,10560.86426,31733.57422
E10,1,8498.681641,20867.65234
E11,1,8397.398438,20809.06055
E12,1,10023.26758,22977.5
F1,1,9453.607422,22472.82031
F2,1,8218.707031,21376.58203
F3,1,10301.64746,30946.68359
F4,1,8686.295898,27161.91992
F5,1,9048.624023,22579.61914
F6,1,9893.631836,23099.85352
F7,1,8645.631836,22029.4707
F8,1,13023.89258,37340.47266
F9,1,11845.20215,35229.98828
F10,1,9495.398438,23181.89648
F11,1,8540.987305,21228.35742
F12,1,8436.46875,19945.69727
G1,1,7096.506836,18473.9082
G2,1,8318.288086,21472.99023
G3,1,10656.44531,24603.52734
G4,1,11451.97363,33845.73438
G5,1,11489.65625,35227.57813
G6,1,9414.762695,22057.40234
G7,1,8602.881836,21629.05859
G8,1,11083.70313,32935.46484
G9,1,11498.72949,34204.19922
G10,1,7876.87793,19669.26367
G11,1,7597.710938,19446.96094
G12,1,8863.880859,20633.67578
H1,1,5556.071289,15464.78906
H2,1,7646.782715,20449.06445
H3,1,9306.446289,22646.54883
H4,1,9810.032227,30513.56055
H5,1,10934.5,34479.07031
H6,1,9159.666992,22313.62305
H7,1,7568.88623,19888.99609
H8,1,9800.379883,30227.12695
H9,1,10155.61914,31700.36719
H10,1,7706.432617,19391.33594
H11,1,5197.277832,14398.49512
H12,1,7475.917969,18172.07031
A1,2,7715.540039,20066.03125
A2,2,15883.80859,35976.90234
A3,2,9863.549805,29398.08789
A4,2,10558.9375,31813.15234
A5,2,8537.241211,21136.77734
A6,2,9343.112305,21972.72461
A7,2,8672.508789,27669.25391
A8,2,10899.95605,32597.85352
A9,2,9532.617188,29428.19336
A10,2,8125.40918,20184.37695
A11,2,7938.674805,18749.09766
A12,2,7606.822754,18464.47461
B1,2,7885.363281,20170.71875
B2,2,8987.641602,23064.36328
B3,2,11047.01172,32440.51367
B4,2,10625.13574,31866.70703
B5,2,8713.930664,20870.68945
B6,2,10040.37695,23066.62891
B7,2,9495.897461,29534.58398
B8,2,10483.17969,31738.50977
B9,2,10674.32715,31568.72656
B10,2,9011.636719,22034.63477
B11,2,8392.888672,20386.70898
B12,2,9496.165039,21630.73828
C1,2,9107.032227,21861.67578
C2,2,8592.81543,21967.35938
C3,2,11370.14453,33495.38672
C4,2,12186.00391,36067.28516
C5,2,9638.795898,23047.43164
C6,2,12730.73926,28791.12695
C7,2,9051.013672,22657.2793
C8,2,11569.8457,34491.22656
C9,2,10841.99219,31503.19531
C10,2,9291.515625,22307.57227
C11,2,8282.21875,20535.31836
C12,2,10207.11133,23032.04297
D1,2,9284.550781,22022.80859
D2,2,8726.619141,22145.74609
D3,2,10461.53906,31365.62305
D4,2,10394.01563,31632.61328
D5,2,9496.518555,22724.37891
D6,2,9474.267578,22347.39063
D7,2,6857.915527,17854.45508
D8,2,11361.78516,33862.95703
D9,2,11263.91895,33210.23047
D10,2,8970.348633,21788.24219
D11,2,7511.598145,19120.65234
D12,2,10361.70996,23427.00195
E1,2,8912.225586,21704.41992
E2,2,8381.082031,21275.01758
E3,2,10138.97266,30627.63086
E4,2,13377.73047,38545.36328
E5,2,10663.55273,24706.35938
E6,2,9440.661133,21953.19727
E7,2,5937.425293,16086.20996
E8,2,11759.80664,34037.76953
E9,2,10610.53418,31696.10547
E10,2,8468.974609,20791.74414
E11,2,8295.980469,20551.71094
E12,2,10300.08691,23344.38672
F1,2,9591.148438,22606.98438
F2,2,8190.62207,21273.64258
F3,2,10349.51367,30893.65039
F4,2,8625.450195,26894.94531
F5,2,9073.388672,22602.01367
F6,2,9885.6875,23010.69141
F7,2,8649.399414,21985.84961
F8,2,12998.96191,37117.59766
F9,2,11837.29492,35199.85547
F10,2,9418.276367,22941.51563
F11,2,8579.082031,21257.59766
F12,2,8653.744141,20292.38672
G1,2,7178.395508,18617.51563
G2,2,8352.700195,21470.2168
G3,2,10706.54199,24570.05469
G4,2,11539.60254,34007.57813
G5,2,11469.73438,35044.3125
G6,2,9561.227539,22247.73047
G7,2,8464.512695,21332.57227
G8,2,11122.21875,32894.15625
G9,2,11378.83887,33784.62891
G10,2,7859.45459,19563.75781
G11,2,7580.564453,19423.87695
G12,2,9002.984375,20833.93359
H1,2,5525.313477,15400.92188
H2,2,7787.152832,20652.00391
H3,2,9604.926758,23100.28906
H4,2,10088.77832,30997.14648
H5,2,11255.87891,34994.85547
H6,2,9431.697266,22667.04102
H7,2,7770.188965,20170.32617
H8,2,10084.00586,30684.44141
H9,2,10359.08203,31990.85938
H10,2,7877.706055,19548.06445
H11,2,5384.523438,14657.74316
H12,2,7644.364746,18461.96289
A1,3,7775.570313,20073.99219
A2,3,15834.50391,35806.74609
A3,3,9983.314453,29462.95898
A4,3,10735.12793,32031.11523
A5,3,8618.224609,21212.43555
A6,3,9476.264648,22129.52734
A7,3,8747.495117,27656.20117
A8,3,11004.45117,32671.02344
A9,3,9587.105469,29325.92773
A10,3,8157.969727,20156.13281
A11,3,7985.615234,18782.30469
A12,3,7619.927246,18444.31445
B1,3,7961.984375,20160.17188
B2,3,8921.271484,22875.875
B3,3,11046.2373,32245.75195
B4,3,10690.62793,31897.79297
B5,3,8601.029297,20584.21094
B6,3,10071.86523,23037.75781
B7,3,9425.296875,29212.9043
B8,3,10504.65332,31657.35352
B9,3,10619.4082,31224.83008
B10,3,8941.046875,21876.14063
B11,3,8286.507813,20137.01758
B12,3,9465.642578,21550.12109
C1,3,9137.741211,21810.16992
C2,3,8539.651367,21827.27148
C3,3,11391.15332,33294.43359
C4,3,12160.25195,35817.73438
C5,3,9721.084961,23159.64063
C6,3,12800.15039,28845.04688
C7,3,9050.821289,22615.33789
C8,3,11538.00879,34224.9375
C9,3,10791.5498,31160.69141
C10,3,9199.904297,22100.69141
C11,3,8180.906738,20237.21875
C12,3,10260.29492,23088.10742
D1,3,9301.344727,21943.93359
D2,3,8727.074219,22089.53711
D3,3,10486.09766,31200.11133
D4,3,10391.19434,31496.50586
D5,3,9532.5,22746.40625
D6,3,9544.811523,22504.39453
D7,3,6915.484863,17901.20508
D8,3,11365.3916,33683.57422
D9,3,11268.27148,32993.27344
D10,3,8935.447266,21656.79297
D11,3,7454.604492,18923.69531
D12,3,10380.20703,23434.11328
E1,3,8894.355469,21517.71094
E2,3,8397.522461,21238.00781
E3,3,10154.11719,30474.55859
E4,3,13375.25195,38450.31641
E5,3,10482.50488,24707.67578
E6,3,9453.229492,21939.32031
E7,3,5949.580078,16063.33496
E8,3,11786.38965,33925.38672
E9,3,10598.38672,31488.74219
E10,3,8438.633789,20679.71094
E11,3,8218.369141,20377.99609
E12,3,10302.60156,23268.79297
F1,3,9581.339844,22471.03516
F2,3,8228.526367,21239.10547
F3,3,10409.77344,30845.63086
F4,3,8691.40625,26987.82422
F5,3,9131.016602,22616.16016
F6,3,9901.046875,22975.81055
F7,3,8653.141602,21908.53125
F8,3,12951.00098,36817.02734
F9,3,11854.47852,35123.58594
F10,3,9413.555664,22891.66797
F11,3,8527.998047,21087.1582
F12,3,8666.683594,20227.45117
G1,3,7280.166016,18755.32422
G2,3,8257.4375,21165.62305
G3,3,10693.91504,24513.02734
G4,3,11515.37305,33833.10156
G5,3,11482.24121,34872.96484
G6,3,9608.144531,22257.42188
G7,3,8413.605469,21143.81055
G8,3,11129.36719,32773.54297
G9,3,11256.45801,33381.78906
G10,3,7845.854004,19510.5
G11,3,7512.791992,19301.53906
G12,3,8977.857422,20745.69531
H1,3,5609.221191,15566.84277
H2,3,7867.574707,20704.74805
H3,3,9759.532227,23320.58984
H4,3,10275.07422,31246.91797
H5,3,11400.98438,35118.91406
H6,3,9559.873047,22813.36523
H7,3,7858.80127,20274.19922
H8,3,10248.30762,30845.88086
H9,3,10467.49609,32116.75586
H10,3,7933.883789,19600.25195
H11,3,5455.268555,14782.68555
H12,3,7680.578125,18534.09766
A1,4,7853.035645,20129.43945
A2,4,15872.77539,35836.17188
A3,4,10007.60254,29285.98242
A4,4,10792.56934,31997.75977
A5,4,8635.921875,21167.22852
A6,4,9499.697266,22101.25781
A7,4,8697.303711,27351.97461
A8,4,11087.9082,32644.5625
A9,4,9552.822266,29005.3418
A10,4,8180.73584,20193.51953
A11,4,8003.192383,18804.41602
A12,4,7690.260742,18475.14258
B1,4,8039.126953,20303.21094
B2,4,8891.602539,22773.64063
B3,4,11041.06836,32000.55078
B4,4,10704.93066,31805.23438
B5,4,8612.532227,20577.05273
B6,4,10102.33398,23054.90039
B7,4,9360.964844,28947.63281
B8,4,10498.29688,31459.51953
B9,4,10505.9541,30784.11328
B10,4,8931.790039,21829.37695
B11,4,8217.617188,19970.61719
B12,4,9494.960938,21550.9043
C1,4,9173.290039,21845.07813
C2,4,8534.87207,21720.76758
C3,4,11356.22266,33017.52344
C4,4,12159.5957,35661.91797
C5,4,9648.741211,22943.29688
C6,4,12825.29688,28802.75391
C7,4,8988.235352,22388.46289
C8,4,11539.80566,34048.77344
C9,4,10808.45801,30987.23828
C10,4,9182.228516,22038.11523
C11,4,8212.598633,20257.94141
C12,4,10261.98535,23056.82617
D1,4,9319.511719,21914.15625
D2,4,8691.026367,21932.10742
D3,4,10531.25391,31153.06641
D4,4,10371.23047,31343.01563
D5,4,9502.547852,22684.1543
D6,4,9536.753906,22525.38281
D7,4,6920.149902,17877.0918
D8,4,11378.24219,33558.05469
D9,4,11375.80664,33081.34375
D10,4,8867.597656,21489.41992
D11,4,7442.276855,18873.52734
D12,4,10348.89063,23332.30078
E1,4,8922.119141,21533.88477
E2,4,8346.238281,21042.63281
E3,4,10164.09375,30293.125
E4,4,13388.26172,38331.39844
E5,4,10409.73926,24817.66797
E6,4,9511.979492,21979.73633
E7,4,6012.088379,16170.08691
E8,4,11751.66992,33680.70703
E9,4,10641.89941,31461.60938
E10,4,8408.400391,20584.88281
E11,4,8203.662109,20289.16797
E12,4,10329.22754,23300.41016
F1,4,9525.464844,22327.96484
F2,4,8179.42334,21080.79688
F3,4,10451.14258,30728.14063
F4,4,8727.15625,26993.57227
F5,4,9164.738281,22617.30469
F6,4,9955.696289,23015.69141
F7,4,8678.9375,21911.16211
F8,4,12940.50293,36571.97266
F9,4,11854.23535,35055.58203
F10,4,9300.578125,22653.0957
F11,4,8525.487305,21046.6875
