Block Type,96well,,,,
Chemistry,TAQMAN,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,
Instrument Type,steponeplus,,,,
Passive Reference,ROX,,,,
,,,,,
Well,Cycle,BLUE,GREEN,YELLOW,RED
A1,1,16574,6579,11126,20937
A2,1,34679,14145,21010,37660
A3,1,21015,8839,17443,29810
A4,1,22246,9378,18673,31782
A5,1,18079,7326,11896,21838
A6,1,19620,8037,12577,22673
A7,1,18747,7671,16080,27904
A8,1,23199,9765,19310,32833
A9,1,20311,8263,17069,29523
A10,1,17554,6966,11492,21071
A11,1,17015,6606,10594,19567
A12,1,16143,6297,10367,19122
B1,1,16938,6618,11177,20887
B2,1,20611,8078,13211,24545
B3,1,24066,10090,19619,33402
B4,1,23109,9632,19136,32535
B5,1,19050,7610,12148,22153
B6,1,21560,8690,13479,24172
B7,1,20944,8542,17521,30227
B8,1,22890,9394,18891,32394
B9,1,23249,9736,18959,32508
B10,1,19845,7709,12669,23310
B11,1,18432,7138,11707,21536
B12,1,20126,7915,12494,22517
C1,1,19246,7624,12331,22663
C2,1,19670,7758,12639,23355
C3,1,24788,10388,20201,34370
C4,1,26388,10951,21677,36665
C5,1,20697,8493,13324,24101
C6,1,27383,11266,16925,30242
C7,1,20049,7862,13036,24046
C8,1,25415,10650,20868,35493
C9,1,23475,9749,18878,32177
C10,1,20379,8116,13055,23679
C11,1,18392,7159,11892,21823
C12,1,21420,8559,13287,23880
D1,1,19769,7835,12585,22969
D2,1,19812,7785,12660,23374
D3,1,22781,9509,18740,32127
D4,1,22796,9157,18909,32358
D5,1,20672,8418,13226,24061
D6,1,20536,8231,13040,23464
D7,1,15250,5661,9910,18916
D8,1,24782,10373,20356,34652
D9,1,24629,10068,19963,34005
D10,1,19650,7670,12559,23011
D11,1,16858,6321,10876,20400
D12,1,21871,8633,13475,24342
E1,1,19010,7494,12280,22566
E2,1,19052,7602,12186,22566
E3,1,22147,9114,18198,31390
E4,1,29169,11970,23461,39591
E5,1,25496,10403,14819,26238
E6,1,20436,8201,12870,23102
E7,1,13359,5040,8960,17082
E8,1,25625,10772,20664,34933
E9,1,23134,9386,18881,32357
E10,1,18598,7195,11903,21934
E11,1,18418,7042,11766,21879
E12,1,21679,8566,13382,24225
F1,1,20528,8107,12974,23678
F2,1,18564,7436,12111,22401
F3,1,22474,9347,18442,31562
F4,1,19055,7700,16159,27559
F5,1,19645,7972,12945,23627
F6,1,21420,8624,13493,24247
F7,1,18868,7671,12438,23106
F8,1,28346,11803,22558,38129
F9,1,25866,10599,21134,35885
F10,1,20728,8124,13251,24370
F11,1,18704,7230,12027,22303
F12,1,18357,7107,11452,21022
G1,1,15599,6004,10359,19401
G2,1,18765,7539,12176,22515
G3,1,22998,9284,14366,25893
G4,1,24911,10253,20416,34395
G5,1,25061,10575,21022,35810
G6,1,20418,8159,12828,23167
G7,1,18761,7611,12230,22710
G8,1,24231,10021,19744,33582
G9,1,25091,10335,20508,34844
G10,1,17249,6703,11191,20649
G11,1,16757,6311,10847,20439
G12,1,19264,7460,11879,21772
H1,1,12296,4712,8545,16185
H2,1,17363,6879,11482,21412
H3,1,20186,8132,12986,23792
H4,1,21443,8839,18181,30962
H5,1,23894,10163,20403,35035
H6,1,19923,7994,12816,23403
H7,1,16588,6698,11105,20847
H8,1,21521,8880,17907,30805
H9,1,22242,9226,18799,32240
H10,1,16840,6655,11052,20333
H11,1,11619,4218,7807,15107
H12,1,16350,6233,10294,19151
A1,2,16885,6701,11232,21083
A2,2,35208,14358,21214,37927
A3,2,21462,9030,17558,29988
A4,2,22930,9683,19028,32340
A5,2,18517,7541,12104,22141
A6,2,20176,8287,12833,23046
A7,2,19153,7856,16253,28164
A8,2,23771,10011,19557,33212
A9,2,20937,8516,17346,30001
A10,2,17725,7027,11556,21172
A11,2,17305,6717,10705,19773
A12,2,16555,6484,10568,19418
B1,2,17257,6763,11382,21192
B2,2,20351,7955,13040,24214
B3,2,24017,10076,19415,33120
B4,2,23105,9652,19059,32408
B5,2,18904,7563,12002,21919
B6,2,21699,8765,13522,24236
B7,2,20936,8541,17420,30099
B8,2,22987,9468,18855,32377
B9,2,23238,9745,18773,32239
B10,2,19699,7661,12576,23168
B11,2,18335,7099,11641,21434
B12,2,20541,8067,12664,22795
C1,2,19776,7854,12582,23025
C2,2,19421,7651,12467,23052
C3,2,24717,10394,20039,34190
C4,2,26474,11022,21677,36680
C5,2,20804,8565,13357,24167
C6,2,27391,11301,16935,30281
C7,2,19825,7774,12874,23775
C8,2,25244,10601,20642,35172
C9,2,23582,9829,18838,32182
C10,2,20194,8035,12914,23427
C11,2,18115,7031,11699,21554
C12,2,21993,8813,13544,24274
D1,2,20143,7988,12735,23201
D2,2,19709,7759,12585,23250
D3,2,22797,9554,18657,32009
D4,2,22770,9167,18799,32178
D5,2,20535,8375,13112,23850
D6,2,20528,8265,13031,23440
D7,2,15215,5667,9845,18783
D8,2,24791,10413,20249,34539
D9,2,24592,10074,19850,33884
D10,2,19586,7632,12500,22899
D11,2,16579,6193,10671,20105
D12,2,22386,8843,13704,24714
E1,2,19397,7648,12448,22841
E2,2,18887,7558,12061,22347
E3,2,22180,9134,18115,31277
E4,2,29060,11926,23259,39258
E5,2,23023,9335,14332,25991
E6,2,20421,8241,12869,23035
E7,2,13202,4952,8847,16866
E8,2,25568,10771,20542,34734
E9,2,23227,9442,18851,32339
E10,2,18525,7187,11861,21854
E11,2,18200,6951,11606,21615
E12,2,22245,8821,13643,24625
F1,2,20816,8210,13081,23830
F2,2,18490,7430,12046,22299
F3,2,22558,9413,18398,31531
F4,2,18908,7667,15997,27296
F5,2,19687,8013,12962,23653
F6,2,21381,8650,13457,24155
F7,2,18863,7700,12401,23071
F8,2,28285,11786,22389,37930
F9,2,25839,10620,21096,35863
F10,2,20561,8045,13119,24121
F11,2,18786,7256,12041,22342
F12,2,18806,7306,11688,21392
G1,2,15767,6086,10450,19555
G2,2,18830,7576,12179,22520
G3,2,23086,9337,14387,25859
G4,2,25085,10358,20507,34571
G5,2,25010,10565,20887,35645
G6,2,20712,8306,12967,23373
G7,2,18466,7496,12021,22410
G8,2,24304,10066,19698,33563
G9,2,24833,10222,20223,34436
G10,2,17202,6695,11141,20541
G11,2,16720,6310,10801,20426
G12,2,19550,7587,12019,21988
H1,2,12241,4665,8495,16122
H2,2,17657,7020,11599,21641
H3,2,20788,8430,13316,24271
H4,2,22014,9109,18508,31470
H5,2,24562,10457,20735,35591
H6,2,20471,8263,13073,23786
H7,2,17001,6887,11298,21153
H8,2,22104,9159,18196,31301
H9,2,22667,9404,18983,32561
H10,2,17206,6770,11167,20517
H11,2,12010,4374,7991,15387
H12,2,16705,6383,10466,19467
A1,3,17006,6750,11247,21103
A2,3,35095,14309,21113,37755
A3,3,21698,9152,17602,30079
A4,3,23298,9838,19145,32595
A5,3,18680,7611,12179,22221
A6,3,20444,8413,12960,23214
A7,3,19298,7936,16234,28177
A8,3,23989,10095,19600,33309
A9,3,21047,8552,17273,29926
A10,3,17793,7043,11546,21152
A11,3,17405,6748,10729,19815
A12,3,16588,6481,10546,19407
B1,3,17409,6827,11392,21197
B2,3,20202,7896,12914,24026
B3,3,24004,10083,19272,32950
B4,3,23235,9721,19064,32460
B5,3,18674,7433,11825,21625
B6,3,21751,8812,13509,24216
B7,3,20778,8480,17194,29795
B8,3,23024,9496,18786,32316
B9,3,23115,9684,18548,31913
B10,3,19539,7618,12480,23002
B11,3,18103,7016,11480,21178
B12,3,20480,8033,12603,22717
C1,3,19833,7880,12563,22981
C2,3,19308,7593,12369,22913
C3,3,24750,10406,19915,34011
C4,3,26412,10988,21527,36442
C5,3,20967,8648,13452,24282
C6,3,27530,11372,16962,30352
C7,3,19820,7778,12849,23736
C8,3,25171,10565,20454,34928
C9,3,23460,9788,18620,31856
C10,3,19998,7954,12785,23212
C11,3,17903,6925,11503,21257
C12,3,22093,8875,13599,24332
D1,3,20177,7987,12699,23128
D2,3,19701,7756,12583,23185
D3,3,22837,9578,18544,31868
D4,3,22757,9167,18703,32057
D5,3,20608,8405,13133,23877
D6,3,20666,8353,13139,23599
D7,3,15335,5709,9888,18836
D8,3,24780,10435,20131,34378
D9,3,24587,10079,19718,33685
D10,3,19512,7590,12425,22766
D11,3,16461,6122,10555,19906
D12,3,22415,8878,13710,24725
E1,3,19352,7619,12358,22654
E2,3,18911,7581,12049,22313
E3,3,22194,9172,17997,31150
E4,3,29041,11949,23183,39177
E5,3,22673,9172,14262,25972
E6,3,20442,8259,12862,23025
E7,3,13219,4975,8836,16847
E8,3,25615,10800,20453,34646
E9,3,23189,9442,18701,32154
E10,3,18461,7154,11786,21745
E11,3,18040,6874,11484,21440
E12,3,22253,8808,13592,24558
F1,3,20785,8206,13005,23699
F2,3,18558,7470,12036,22273
F3,3,22668,9494,18340,31515
F4,3,19045,7731,16040,27405
F5,3,19798,8070,12987,23675
F6,3,21406,8669,13443,24124
F7,3,18854,7722,12375,22992
F8,3,28176,11741,22175,37652
F9,3,25870,10633,21048,35798
F10,3,20551,8037,13083,24076
F11,3,18677,7203,11934,22172
F12,3,18822,7327,11660,21331
G1,3,15976,6182,10538,19709
G2,3,18609,7490,12006,22207
G3,3,23055,9331,14352,25803
G4,3,25035,10325,20375,34414
G5,3,25024,10581,20771,35495
G6,3,20803,8354,12977,23393
G7,3,18350,7447,11930,22212
G8,3,24312,10075,19609,33460
G9,3,24567,10104,19982,34029
G10,3,17176,6676,11099,20492
G11,3,16593,6216,10718,20298
G12,3,19500,7555,11957,21903
H1,3,12416,4745,8600,16297
H2,3,17835,7064,11631,21712
H3,3,21103,8579,13467,24510
H4,3,22392,9292,18669,31747
H5,3,24864,10579,20803,35748
H6,3,20729,8390,13174,23951
H7,3,17181,6972,11369,21270
H8,3,22448,9292,18300,31493
H9,3,22886,9514,19057,32708
H10,3,17324,6815,11198,20581
H11,3,12168,4418,8064,15523
H12,3,16785,6410,10504,19546
A1,4,17164,6813,11300,21168
A2,4,35180,14333,21123,37796
A3,4,21747,9154,17478,29929
A4,4,23408,9897,19119,32582
A5,4,18716,7624,12137,22190
A6,4,20491,8430,12941,23195
A7,4,19192,7863,16040,27886
A8,4,24155,10170,19578,33310
A9,4,20963,8515,17070,29624
A10,4,17843,7063,11556,21198
A11,4,17436,6776,10743,19840
A12,4,16728,6545,10577,19450
B1,4,17573,6900,11461,21358
B2,4,20133,7870,12850,23924
B3,4,23990,10063,19094,32734
B4,4,23259,9736,18994,32384
B5,4,18695,7448,11817,21623
B6,4,21811,8841,13527,24237
B7,4,20643,8411,16997,29547
B8,4,23001,9491,18650,32138
B9,4,22872,9574,18236,31493
B10,4,19525,7597,12440,22961
B11,4,17962,6938,11380,21005
B12,4,20539,8055,12613,22722
C1,4,19904,7914,12592,23020
C2,4,19276,7606,12334,22801
C3,4,24657,10391,19741,33748
C4,4,26403,10997,21393,36314
C5,4,20808,8587,13317,24064
C6,4,27568,11406,16965,30308
C7,4,19686,7703,12729,23502
C8,4,25169,10563,20322,34776
C9,4,23496,9785,18484,31713
C10,4,19962,7934,12738,23153
C11,4,17968,6949,11525,21281
C12,4,22094,8878,13579,24304
D1,4,20206,8010,12697,23099
D2,4,19617,7719,12481,23032
D3,4,22930,9616,18486,31849
D4,4,22713,9146,18585,31920
D5,4,20534,8409,13074,23820
D6,4,20649,8355,13140,23621
D7,4,15340,5722,9866,18818
D8,4,24808,10435,20022,34279
D9,4,24814,10168,19749,33805
D10,4,19360,7542,12325,22592
D11,4,16425,6126,10535,19852
D12,4,22351,8839,13649,24622
E1,4,19406,7648,12372,22675
E2,4,18793,7527,11933,22117
E3,4,22202,9187,17875,30990
E4,4,29057,11967,23110,39071
E5,4,22523,9153,14272,26077
E6,4,20557,8319,12897,23074
E7,4,13348,5034,8910,16959
E8,4,25540,10755,20281,34420
E9,4,23278,9477,18672,32146
E10,4,18388,7141,11731,21648
E11,4,18011,6849,11425,21356
E12,4,22304,8838,13620,24591
F1,4,20666,8150,12926,23548
F2,4,18445,7429,11930,22117
F3,4,22746,9528,18261,31421
F4,4,19110,7773,16058,27414
F5,4,19863,8102,12998,23681
F6,4,21519,8716,13464,24177
F7,4,18900,7761,12368,23005
F8,4,28139,11740,22006,37431
F9,4,25865,10643,20980,35746
