Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,5,BRK2,UNKNOWN,FAM,NFQ-MGB,33.59396362,33.82394028,0.919933081,0.002066993,0.002746254,0.001758919,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
A2,21,BRK2,UNKNOWN,FAM,NFQ-MGB,34.20012665,34.69616318,1.939407945,0.003099258,0.007523972,0.009138633,TRUE,0.137240904,TRUE,3,30,,N,Y,N,N,N
A3,29,BRK2,UNKNOWN,FAM,NFQ-MGB,34.4738121,34.62071228,0.243912995,0.003721224,0.004142629,0.000703583,TRUE,0.137240904,TRUE,3,30,,N,N,N,N,N
A4,12,BRK2,UNKNOWN,FAM,NFQ-MGB,32.42245865,32.41117859,0.162536785,0.000944819,0.0009414,0.000101526,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
A5,23,BRK2,UNKNOWN,FAM,NFQ-MGB,34.74607086,33.5791626,1.010578156,0.00446375,0.002411817,0.001777029,TRUE,0.137240904,TRUE,3,30,,N,Y,N,Y,N
A6,4,BRK2,UNKNOWN,FAM,NFQ-MGB,34.16817474,33.85136795,0.899280846,0.003033784,0.002731245,0.001359439,TRUE,0.137240904,TRUE,3,30,,N,Y,N,N,N
A7,24,BRK2,UNKNOWN,FAM,NFQ-MGB,33.06308746,33.20113373,0.138978645,0.001449672,0.001594341,0.000148047,TRUE,0.137240904,TRUE,3,29,,N,N,N,N,N
A8,6,BRK2,UNKNOWN,FAM,NFQ-MGB,32.47070313,33.11741638,0.603521943,0.000975776,0.001623087,0.000738243,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
A9,7,BRK2,UNKNOWN,FAM,NFQ-MGB,32.81777954,32.9610672,0.202642053,0.001230488,0.001360349,0.000183651,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
A10,9,BRK2,UNKNOWN,FAM,NFQ-MGB,32.10227203,32.56439209,0.400683641,0.000762825,0.00106252,0.000260025,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
A11,11,BRK2,UNKNOWN,FAM,NFQ-MGB,32.65035629,33.09161377,0.395561367,0.001100242,0.001510938,0.000374422,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
A12,,BRK2,STANDARD,FAM,NFQ-MGB,Undetermined,,,0.07,,,TRUE,0.137240904,TRUE,3,39,,N,N,Y,N,Y
