Block Type,96well,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,,,,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,
,,,,,,,,,,,
Well,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
A1,5,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A2,21,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A3,29,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A4,12,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A5,23,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A6,4,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A7,24,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A8,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A9,7,"RGB(180,255,0)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A10,9,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A11,11,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H12,,,,,BRK2,"RGB(208,243,98)",STANDARD,FAM,NFQ-MGB,0.07,
B1,5,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B2,22,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B3,29,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B4,12,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B5,25,"RGB(180,255,0)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B6,4,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B7,24,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B8,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B9,15,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B10,9,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B11,14,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G12,,,,,BRK2,"RGB(208,243,98)",STANDARD,FAM,NFQ-MGB,0.07,
C1,5,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C2,22,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C3,1,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C4,12,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C5,25,"RGB(180,255,0)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C6,19,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C7,24,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C8,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C9,15,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C10,9,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C11,14,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F12,,,,,BRK2,"RGB(208,243,98)",STANDARD,FAM,NFQ-MGB,0.007,
D1,8,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D2,22,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D3,1,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D4,13,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D5,25,"RGB(180,255,0)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D6,19,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D7,28,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D8,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D9,16,"RGB(180,255,0)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D10,10,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D11,14,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E12,,,,,BRK2,"RGB(208,243,98)",STANDARD,FAM,NFQ-MGB,0.007,
E1,8,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E2,27,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E3,1,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E4,13,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E5,3,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E6,19,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E7,28,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E8,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E9,16,"RGB(180,255,0)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E10,10,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
E11,26,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
D12,,,,,BRK2,"RGB(208,243,98)",STANDARD,FAM,NFQ-MGB,0.0007,
F1,8,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F2,27,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F3,2,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F4,13,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F5,3,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F6,20,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F7,28,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F8,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F9,17,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F10,10,"RGB(213,244,165)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
F11,26,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
C12,,,,,BRK2,"RGB(208,243,98)",STANDARD,FAM,NFQ-MGB,0.0007,
G1,21,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G2,27,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G3,2,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G4,23,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G5,3,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G6,20,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G7,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G8,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G9,17,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G10,11,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
G11,26,"RGB(255,204,153)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
B12,,,,,BRK2,"RGB(208,243,98)",NTC,FAM,NFQ-MGB,,
H1,21,"RGB(132,193,241)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H2,29,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H3,2,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H4,23,"RGB(223,221,142)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H5,4,"RGB(168,255,222)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H6,20,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H7,6,"RGB(247,255,168)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H8,7,"RGB(180,255,0)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H9,18,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H10,11,"RGB(96,255,160)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
H11,18,"RGB(253,138,88)",,,BRK2,"RGB(208,243,98)",UNKNOWN,FAM,NFQ-MGB,,
A12,,,,,BRK2,"RGB(208,243,98)",NTC,FAM,NFQ-MGB,,
